REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTMONTH,DTLEFTYEAR,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,RET,DTRETMON,DTRETYR,WORK1,OCUP1,DTEXPMON,DTEXPYR,WORK2,OCUP2,NOMONTH,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
13,39,1,649,2,1,36,2,7,94,2,5,X10,1,81,6,1,6,95,1,X20,,,,,9,1,10000,2,10000,2,,0.4443
13,39,1,470,2,1,43,3,1,95,2,6,X10,1,52,12,2,,,,,1,96,1,42,8,1,75000,2,,2,,0.4443
13,39,1,85,2,1,40,2,1,93,2,5,552,1,26,24,2,,,,,88,88,1,552,24,1,12000,1,,2,,0.4443
13,39,1,92,2,2,36,1,3,93,2,4,599,1,81,36,2,,,,,12,95,1,599,30,1,16000,4,,2,,0.4443
13,39,1,92,6,2,37,1,7,93,2,3,541,1,52,24,2,,,,,88,88,1,541,26,2,,,,2,,0.4443
13,39,1,95,3,1,40,5,3,95,2,5,Z90,1,51,20,2,,,,,3,96,1,552,6,1,15000,4,,2,,0.4443
13,39,1,66,2,1,46,2,3,94,2,5,851,1,81,36,2,,,,,88,88,1,851,36,1,6000,1,,2,,0.4443
13,39,1,67,2,1,38,1,2,94,1,4,951,1,81,4,2,,,,,3,96,1,51,24,1,10000,4,,2,,0.4443
13,39,1,680,2,1,41,2,6,95,2,4,926,1,94,24,2,,,,,5,97,1,926,24,2,,,27000,1,19050,0.4443
13,39,1,254,2,1,40,3,10,94,2,6,Z90,1,52,17,2,,,,,9,96,1,981,1,2,,,,2,,0.4443
13,39,1,78,1,1,42,2,12,91,2,4,951,1,81,24,1,1,94,1,979,,,,,24,2,,,,2,,0.4443
13,39,1,80,3,1,29,2,12,90,1,5,322,3,96,55,1,12,92,1,322,,,,,32,2,,,,2,,0.4443
13,39,1,81,3,2,37,2,2,94,1,5,852,1,83,10,1,12,94,1,541,,,,,9,1,24000,1,,2,,0.4443
13,39,1,84,6,1,44,1,5,93,2,3,843,1,26,24,1,7,94,1,843,,,,,13,1,7785,4,,2,,0.4443
13,39,1,245,6,1,23,1,9,95,1,6,23,1,96,24,2,,,,,88,88,1,23,1,2,,,,2,,0.4443
13,39,1,554,2,1,43,2,2,93,2,5,599,1,81,88,2,,,,,12,95,1,599,32,1,55000,4,,2,,0.4443
13,39,1,557,2,1,39,3,9,94,2,6,Z90,1,18,10,1,9,95,1,541,,,,,12,1,30000,1,80000,2,,0.4443
13,39,1,572,3,1,22,1,6,95,1,5,776,1,90,10,2,,,,,6,96,1,531,4,2,,,,2,,0.4443
13,39,1,296,1,1,48,5,4,95,2,3,931,1,81,12,2,,,,,4,96,1,931,6,1,33500,1,,2,,0.4443
13,39,1,299,3,1,28,1,9,95,1,6,111,1,64,88,2,,,,,7,96,1,219,1,2,,,,2,,0.4443
13,39,1,214,3,1,21,1,2,92,1,5,Z30,8,52,88,2,,,,,88,88,1,949,33,1,11600,3,,2,,0.4443
13,39,1,234,1,1,46,3,2,94,2,4,880,1,81,24,1,2,95,1,880,,,,,18,1,13500,4,,2,,0.4443
13,39,1,235,2,1,39,1,2,91,2,4,X20,1,81,48,2,,,,,1,96,1,X20,45,1,14000,4,,2,,0.4443
13,39,1,241,3,2,26,3,6,95,4,6,Z90,1,52,15,2,,,,,9,96,1,384,4,1,147400,4,,1,2800,0.4443
13,39,1,306,2,1,29,5,7,95,2,6,981,1,999,10,2,,,,,8,96,1,981,3,1,10000,1,,2,,0.4443
13,39,1,538,3,2,24,2,12,94,1,6,112,8,82,6,1,5,95,1,112,,,,,5,2,,,25000,2,,0.4443
13,39,1,539,3,2,54,1,9,95,2,3,411,1,89,88,2,,,,,9,96,1,532,1,2,,,,2,,0.4443
13,39,1,539,3,1,54,5,9,95,2,6,532,1,89,12,2,,,,,9,96,1,532,1,2,,,,1,12500,0.4443
13,39,1,541,1,1,26,1,9,94,1,6,132,4,47,3,1,12,94,2,,,,,,,2,,,,2,,0.4443
13,39,1,352,2,1,38,1,9,92,2,4,929,1,81,88,2,,,,,88,88,1,929,36,1,30000,4,,1,14000,0.4443
13,39,1,340,4,1,39,1,3,94,2,5,981,1,39,20,2,,,,,12,95,1,981,18,1,30000,1,,2,,0.4443
13,39,1,144,2,1,36,3,4,95,2,4,532,1,47,88,2,,,,,88,88,1,560,6,1,42000,1,,2,,0.4443
13,39,1,603,3,1,35,1,12,94,2,5,949,1,50,10,2,,,,,88,88,1,949,10,1,7500,3,,2,,0.4443
13,39,1,279,2,2,45,2,10,94,2,4,Z20,1,35,88,2,,,,,88,88,1,541,11,1,48000,4,,2,,0.4443
13,39,1,707,6,2,50,1,11,90,2,5,Z20,6,96,88,2,,,,,88,88,2,,,2,,,,2,,0.4443
13,39,1,707,6,1,50,1,11,90,2,6,382,6,96,88,2,,,,,88,88,1,382,58,1,83000,4,,2,,0.4443
13,39,1,394,1,1,38,2,9,95,2,5,981,1,81,6,2,,,,,3,96,1,981,1,2,,,,2,,0.4443
13,39,1,620,2,1,52,3,1,94,2,4,849,1,94,24,1,5,94,1,849,,,,,24,1,64000,4,,1,84000,0.4443
13,39,1,625,1,1,39,1,4,91,2,6,Z90,3,50,48,2,,,,,88,88,1,949,53,1,30000,4,,1,15000,0.4443
13,39,1,453,2,1,34,3,6,93,2,6,Z90,1,52,12,1,3,94,1,42,,,,,21,1,45000,4,,2,,0.4443
13,39,1,453,6,2,45,2,4,94,3,6,Z20,1,39,24,2,,,,,88,88,1,541,18,1,36000,4,,2,,0.4443
13,39,1,453,6,1,22,1,3,95,1,6,Z30,1,39,12,2,,,,,3,96,1,42,6,2,,,,2,,0.4443
13,39,1,684,2,1,45,3,4,94,2,4,872,1,10,24,1,7,95,1,872,,,,,14,2,,,50000,2,,0.4443
13,39,1,686,1,1,49,6,10,94,2,6,35,1,94,12,1,9,95,1,35,,,,,12,1,40000,4,,2,,0.4443
13,39,1,157,2,1,48,2,3,94,2,6,23,1,81,24,2,,,,,3,96,1,23,18,1,163000,4,,2,,0.4443
13,39,1,31,2,1,38,1,9,94,2,4,432,1,81,24,2,,,,,9,96,1,985,12,1,31000,4,,2,,0.4443
13,39,1,762,2,1,48,2,3,94,2,5,880,1,81,24,2,,,,,3,96,1,880,18,1,23000,4,,2,,0.4443
13,39,1,120,1,1,27,3,9,91,2,6,855,1,94,12,1,9,95,1,855,,,,,44,1,60000,4,80000,2,,0.4443
13,39,1,107,2,1,31,4,7,94,2,5,531,1,52,12,1,5,95,1,531,,,,,9,1,12000,4,70000,1,17000,0.4443
13,39,1,383,3,2,30,2,12,94,1,6,67,1,56,24,2,,,,,88,88,1,67,10,1,22500,4,,2,,0.4443
13,39,1,392,2,1,48,2,3,95,2,7,700,1,81,12,2,,,,,1,96,1,700,6,1,90000,4,,1,20000,0.4443
13,39,1,629,2,2,38,1,10,94,2,4,541,1,39,24,2,,,,,12,96,1,541,11,1,24000,1,,2,,0.4443
13,39,1,227,2,2,44,1,7,93,2,4,570,1,81,27,2,,,,,3,96,1,139,26,1,90000,4,,2,,0.4443
13,39,1,228,1,1,36,1,3,91,2,2,985,1,81,11,1,11,92,1,985,,,,,19,2,,,,2,,0.4443
13,39,1,408,2,2,54,2,1,95,2,4,Z20,1,39,36,2,,,,,12,95,1,541,9,1,19000,1,,2,,0.4443
13,39,1,409,2,1,49,2,12,93,2,4,Z90,1,89,12,2,,,,,88,88,1,985,19,1,39000,1,,2,,0.4443
13,39,1,411,2,1,33,1,1,95,2,3,846,1,18,24,2,,,,,12,95,1,846,24,1,24000,4,,2,,0.4443
13,39,1,491,3,1,24,2,9,95,1,6,999,7,52,6,2,,,,,3,96,1,35,1,2,,,,2,,0.4443
13,39,1,491,4,1,29,2,9,95,2,6,949,1,89,11,2,,,,,6,96,1,949,2,1,30000,4,,2,,0.4443
13,39,1,493,4,2,23,1,9,92,2,5,532,6,96,34,2,,,,,88,88,2,,37,2,,,,2,,0.4443
13,39,1,696,2,1,35,1,1,93,2,5,79,1,81,24,2,,,,,88,88,1,79,32,1,6000,4,,2,,0.4443
13,39,1,660,2,1,42,4,1,94,2,4,531,1,81,16,2,,,,,12,95,1,531,20,1,15000,3,,2,,0.4443
