REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,28,2,97,3,2,25,2,3,96,1,5,617,1,39,24,1,541,30,2,,,3,1998,1,1500,3,,2,,833.4577
1,28,2,100,3,2,38,2,10,95,1,4,Z20,1,15,24,1,541,33,2,,,10,1997,1,500,3,,2,,833.4577
1,28,2,108,6,2,44,2,9,96,2,2,Z20,6,96,88,2,,,2,,,88,8888,2,,,,2,,833.4577
1,28,2,108,6,1,55,2,9,96,2,1,611,6,96,88,2,,,2,,,88,8888,2,,,,2,,833.4577
1,28,1,58,2,2,39,2,8,94,2,6,541,1,82,13,1,541,48,1,9,95,,,2,,,,2,,660.1871
1,28,1,59,2,2,38,2,4,96,2,5,541,1,39,24,1,541,48,2,,,5,1998,1,28000,4,,2,,660.1871
1,28,2,196,3,2,32,1,4,96,1,5,451,1,81,24,1,541,6,2,,,3,1998,1,5000,1,,2,,833.4556
1,28,2,209,3,2,37,10,10,91,4,3,Z20,1,82,48,1,511,40,1,1,96,,,2,,,,2,,909.2277
1,28,2,215,2,2,39,1,8,95,2,4,Z20,1,57,24,1,541,13,2,,,8,1997,1,7500,1,,2,,909.2277
1,28,1,5,3,2,26,3,8,96,1,3,541,1,57,24,1,541,29,2,,,2,1997,2,,,,1,2000,660.1868
1,28,1,12,3,2,38,2,10,95,2,5,Z20,1,39,24,1,541,36,2,,,10,1997,1,2500,4,,2,,660.1868
1,28,1,32,2,1,33,2,10,95,2,4,531,6,96,88,1,531,45,2,,,88,8888,1,32700,4,,2,,660.187
1,28,2,149,3,2,34,3,1,96,1,6,541,1,39,24,1,541,58,2,,,1,1997,1,4000,1,,2,,833.4604
1,28,2,154,3,2,28,1,6,95,1,4,541,1,15,24,1,541,15,2,,,6,1997,1,2000,1,,2,,833.4604
1,28,2,155,6,1,25,1,9,95,1,5,611,1,81,24,1,959,6,1,12,95,,,2,,,,2,,833.4604
1,28,1,67,3,2,26,1,4,94,1,5,Z20,1,39,24,1,541,29,2,,,12,1996,1,15000,4,,2,,660.1872
1,28,1,68,3,1,25,1,9,96,2,5,432,6,96,88,1,451,60,2,,,88,8888,1,1000,4,,1,200,660.1872
1,28,1,68,3,2,19,2,7,93,1,4,Z90,6,96,88,2,,,2,,,88,8888,2,,,,2,,660.1872
1,28,1,68,6,1,36,2,2,96,2,5,542,6,96,88,1,542,60,2,,,88,8888,1,35100,4,,1,1200,660.1872
1,28,1,68,6,2,70,3,9,94,3,2,Z90,6,96,88,2,,,2,,,88,8888,1,5200,5,,2,,660.1872
1,28,1,68,3,1,23,2,7,93,1,5,329,6,96,88,1,X20,36,2,,,88,8888,1,500,4,,2,,660.1872
1,28,1,68,3,1,31,2,10,95,2,5,531,6,96,88,1,531,40,2,,,88,8888,1,1000,4,,2,,660.1872
1,28,1,71,4,1,35,1,10,91,2,6,134,1,81,88,1,542,60,2,,,88,8888,1,18000,4,,2,,660.1872
1,28,1,71,3,2,26,1,8,94,2,6,432,1,82,24,1,541,48,2,,,88,8888,1,6000,1,,1,1000,660.1872
1,28,1,71,4,2,25,2,9,95,2,5,Z30,3,96,12,1,542,48,2,,,12,1996,1,3900,3,,1,3500,660.1872
1,28,1,72,2,1,39,1,6,92,2,3,531,6,96,88,1,531,60,2,,,88,8888,1,24000,1,,2,,660.1872
1,28,2,143,1,1,41,1,10,95,1,2,611,1,89,12,1,959,12,2,,,10,1996,1,40000,4,,2,,833.4598
1,29,2,547,2,2,24,1,6,95,2,5,Z20,1,39,24,1,541,15,2,,,6,1997,1,8000,1,,2,,1000.5418
1,29,1,367,2,2,49,1,10,92,2,6,Z20,1,35,60,1,541,60,2,,,2,1997,1,36400,3,,2,,630.8638
