REGN,PROV,URB,HHCN,REL,SEX,AGE,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,OCUP,SWORK,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,28,2,98,3,2,21,1,97,1,6,791,1,89,451,197,2,,,1,1998,1,23000,1,,2,,566.2674
1,28,2,106,3,2,27,9,94,1,6,136,1,18,541,994,2,,,9,1998,1,10200,1,,2,,566.2674
1,28,2,179,4,1,38,99,99,2,5,611,1,39,541,390,2,,,4,1998,2,,,26500,2,,566.27
1,28,2,179,3,2,35,99,99,2,6,Z20,1,39,541,390,2,,,4,1998,2,,,48000,1,18500,566.27
1,28,2,182,3,2,35,12,94,3,2,425,1,39,541,1294,2,,,7,1997,1,11500,4,,2,,566.2705
1,28,1,59,2,2,39,5,96,2,5,411,1,39,541,192,2,,,4,1998,1,28000,1,,1,2200,336.408
1,28,2,215,2,2,38,7,95,2,4,791,1,57,541,895,2,,,8,1997,1,6000,4,,2,,617.747
1,28,2,221,2,2,37,7,95,2,4,621,1,39,541,1195,2,,,3,1998,1,35000,1,,2,,566.2698
1,28,2,223,3,1,22,9,96,1,4,621,1,89,974,996,2,,,10,1998,1,61000,4,,2,,566.2698
1,28,1,87,2,2,28,4,96,2,6,Z20,1,39,541,394,2,,,12,1997,1,16500,1,,2,,336.4081
1,28,1,96,3,1,30,3,97,1,5,Z30,1,81,324,393,2,,,3,2001,1,2300,1,20000,1,260,336.4081
1,28,2,113,3,2,38,99,99,4,4,Z20,1,39,541,888,2,,,99,9999,1,18000,1,,2,,566.2689
1,28,1,5,2,2,45,99,99,2,6,Z20,1,51,541,383,2,,,2,1999,1,33000,1,35000,1,172700,336.4079
1,28,1,10,3,2,20,9,96,1,5,Z20,1,39,541,996,2,,,9,1998,2,,,,1,500,336.4079
1,28,1,11,2,1,38,7,93,2,4,954,1,81,954,1290,1,1,97,,,2,,,50000,1,20826,336.4079
1,28,1,13,2,2,33,8,96,2,5,Z20,1,39,541,594,2,,,7,1997,1,24000,1,,2,,366.9906
1,28,1,14,3,2,37,1,97,1,5,79,1,57,541,9992,2,,,11,1997,1,8000,5,40000,1,2200,366.9906
1,28,1,16,4,1,36,6,93,2,6,22,1,57,954,890,2,,,99,1998,1,20000,1,,2,,366.9906
1,28,1,20,3,2,26,99,96,1,5,451,1,81,541,594,2,,,12,1998,1,12000,1,,2,,366.9906
1,28,1,35,3,1,29,12,96,1,3,621,1,47,490,285,2,,,88,8888,1,3000,4,,2,,336.4079
1,28,1,35,3,1,44,12,96,1,6,611,1,47,949,684,2,,,88,8888,1,3000,4,150000,1,7500,336.4079
1,28,1,35,3,2,42,12,96,1,2,621,1,47,541,380,2,,,88,8888,1,3000,4,,2,,336.4079
1,28,2,149,3,2,35,1,95,1,6,Z20,1,39,541,1291,2,,,12,1997,1,6000,1,,2,,617.7482
1,28,2,154,3,2,29,7,95,1,4,541,1,15,541,795,2,,,7,1997,1,8000,1,,2,,617.7482
1,28,2,159,2,1,47,2,94,2,5,532,1,81,532,1190,2,,,6,1997,1,36000,1,,2,,566.2662
1,28,1,67,3,2,26,3,96,2,5,Z20,1,39,323,491,2,,,99,9999,1,22500,4,,2,,336.4081
1,28,1,71,4,1,34,10,91,2,6,133,1,81,551,1091,1,3,97,,,1,12000,1,10000,1,2000,336.4081
1,28,1,71,3,2,27,8,94,2,6,451,1,82,541,894,2,,,99,1998,1,7000,4,,1,6000,336.4081
1,28,2,143,1,1,41,10,95,2,1,611,1,89,954,1095,1,10,96,,,2,,,10000,1,7400,566.2687
1,28,2,144,3,1,25,11,95,1,4,872,1,57,872,1195,1,2,97,,,1,29840,1,5200,2,,566.2687
