REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,GRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,28,2,171,3,2,27,1,4,97,1,6,Z20,1,39,24,1,541,20,1,12,98,,,2,,,,2,,947.6464
1,28,1,49,2,2,45,2,8,99,2,3,Z20,1,39,24,1,541,21,2,,,8,2002,1,20000,1,86000,1,27200,603.0086
1,28,2,198,4,2,35,2,6,98,2,7,Z20,1,46,24,1,541,30,2,,,5,2000,2,,,,2,,789.6998
1,28,1,58,6,1,42,4,7,99,2,7,029,1,52,6,1,029,48,2,,,1,2000,1,100000,1,100000,1,6500,603.0086
1,28,2,198,4,2,35,2,6,98,2,7,Z20,1,46,24,1,541,30,2,,,5,2000,2,,,,2,,789.6998
1,28,2,214,3,2,27,2,4,99,1,6,541,1,57,8,1,541,99,2,,,12,1999,1,13000,4,,2,,789.7028
1,28,2,214,3,2,23,1,10,97,1,6,Z20,1,82,24,1,541,23,2,,,3,2000,1,14000,4,14000,1,500,789.7028
1,28,1,8,1,1,54,2,2,98,2,1,954,1,81,24,1,954,60,2,,,3,2000,1,48000,4,,2,,682.3936
1,28,2,113,3,2,40,3,1,99,4,4,Z90,1,39,24,1,541,60,2,,,99,9999,1,25000,1,,1,1200,789.7037
1,28,2,148,3,1,26,1,3,99,1,6,311,1,89,24,1,593,7,2,,,3,2001,1,10000,1,,2,,973.8645
1,28,2,156,3,2,29,3,4,99,1,6,Z90,1,39,24,1,541,60,2,,,4,2001,1,3000,4,,2,,973.8645
1,28,1,63,1,1,71,4,3,99,2,7,123,6,96,6,2,,,2,,,10,1999,1,27360,1,,2,,750.6334
1,28,1,67,3,2,29,1,4,98,1,7,201,1,81,24,1,066,17,2,,,4,2000,1,30000,1,,2,,750.6334
1,28,1,69,3,2,36,3,11,97,2,2,Z20,1,39,22,1,541,22,2,,,10,1999,1,32500,1,,2,,750.6334
1,28,1,69,3,1,35,1,10,96,1,6,570,1,81,24,1,570,38,2,,,88,8888,2,,,,2,,750.6334
1,28,2,143,2,2,43,1,7,95,2,2,621,1,51,30,1,541,30,1,12,97,,,2,,,,2,,947.6445
1,28,2,232,3,1,35,1,11,97,1,2,759,1,89,24,1,759,22,2,,,12,1999,1,58000,1,,1,2900,841.2065
1,28,2,235,3,2,48,2,99,98,1,4,541,1,80,88,1,541,60,2,,,88,8888,2,,,,2,,841.2065
1,28,2,235,4,2,23,1,99,99,2,4,Z20,1,51,88,1,541,99,2,,,88,8888,2,,,,2,,841.2065
1,28,2,235,4,2,39,1,99,99,2,4,Z20,1,51,88,1,541,99,2,,,88,8888,2,,,,2,,841.2065
1,29,1,365,3,2,48,1,9,97,4,4,Z20,3,47,88,1,451,60,2,,,88,8888,1,4000,3,,2,,561.6729
1,29,1,372,3,2,30,1,3,97,1,6,451,1,21,24,1,541,29,2,,,88,8888,1,18000,1,,2,,561.6729
1,29,2,548,3,2,32,1,12,97,2,2,Z20,1,82,24,1,541,22,2,,,12,1999,1,5000,1,,2,,1055.0238
1,29,2,470,6,1,21,1,7,99,1,6,621,6,96,88,2,,,2,,,88,8888,2,,,,2,,967.1068
1,29,2,505,3,1,36,1,8,98,2,7,Z20,1,81,88,1,999,99,2,,,88,8888,1,46800,1,,2,,967.1044
1,29,2,510,3,2,25,1,2,98,1,4,Z90,1,39,24,1,541,48,2,,,2,2000,1,25000,4,,2,,967.1044
1,29,2,511,3,1,29,1,12,98,2,7,Z90,6,18,12,2,,,2,,,88,8888,2,,,,2,,967.1044
1,29,2,589,6,1,25,1,99,97,2,7,Z50,1,35,88,1,981,24,2,,,88,8888,2,,,,2,,1055.0228
1,29,2,493,3,2,41,2,4,96,1,7,Z90,1,35,88,1,541,41,2,,,12,1999,1,29000,3,,1,1500,1055.0228
1,29,2,494,2,2,44,1,5,99,2,7,621,1,35,24,1,541,6,2,,,3,2000,1,9700,1,11000,1,34000,1055.0228
1,29,2,495,2,2,51,3,3,99,2,7,Z90,1,35,24,1,541,60,2,,,3,2000,1,42000,3,,2,,1055.0228
1,29,2,497,3,2,23,1,9,97,1,4,621,1,82,24,1,541,24,2,,,9,2001,2,,,,2,,1055.0228
1,29,2,502,3,2,24,2,1,98,1,3,621,1,81,24,1,541,35,2,,,12,1999,1,12000,1,,2,,1055.0228
1,29,1,242,2,2,42,3,3,99,2,7,Z90,1,81,12,1,066,48,2,,,12,1999,1,40000,4,,2,,609.7815
1,29,1,244,2,2,33,2,3,98,2,4,Z90,1,82,24,1,549,48,2,,,3,2000,2,,,,2,,609.7815
1,29,1,248,4,1,42,5,6,98,2,5,Z90,1,81,12,1,846,60,1,8,99,,,1,25000,4,58500,1,26500,609.7815
