REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTM,DTLEFTY,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,DTRETM,DTRETY,DTEXPM,DTEXPY,CASHREM,CASHAMT,MODE,RET6MOS,CASHHOME,INKIND,KINDAMT,SWGT
01,33,1,0634,3,1,23,01,11,1999,1,7,Z90,1,089,36,1,842,10,2,  ,    ,11,2001,1,060000,1,2,      ,1,001000,0155.9523
01,33,1,0634,4,2,21,01,10,1999,2,4,Z20,1,039,24,1,541,12,1,09,2000,  ,    ,1,003500,1,1,115000,1,025000,0155.9523
01,33,1,0645,3,2,26,01,10,1998,2,7,490,1,039,36,1,541,24,2,  ,    ,04,2001,1,036000,1,2,      ,2,      ,0155.9523
01,33,1,0666,2,2,40,02,03,1999,2,6,452,1,039,24,1,541,24,2,  ,    ,03,2001,1,010000,1,2,      ,2,      ,0155.9524
01,33,1,0677,3,2,34,02,06,1999,1,6,Z20,1,039,18,1,389,60,2,  ,    ,12,2000,1,060000,1,2,      ,2,      ,0155.9524
01,33,1,0677,3,2,41,03,06,1999,4,4,Z20,6,039,88,1,389,60,2,  ,    ,12,2000,1,045000,1,2,      ,2,      ,0155.9524
01,33,1,0677,5,1,21,01,06,1999,1,6,Z30,6,039,88,2,   ,  ,2,  ,    ,12,2000,2,      , ,2,      ,2,      ,0155.9524
01,33,1,0677,5,2,20,01,06,1999,1,6,Z30,6,039,88,2,   ,  ,2,  ,    ,12,2000,2,      , ,2,      ,2,      ,0155.9524
01,33,1,0677,5,1,18,01,06,1999,1,3,Z30,6,039,88,2,   ,  ,2,  ,    ,12,2000,2,      , ,2,      ,2,      ,0155.9524
01,33,1,0682,1,1,43,01,07,1999,2,7,214,7,099,06,1,X20,05,1,12,1999,  ,    ,2,      , ,2,      ,2,      ,0155.9524
01,33,1,0683,4,2,28,04,04,2000,2,5,Z20,1,096,24,1,325,42,2,  ,    ,12,2001,2,      , ,2,      ,2,      ,0155.9524
01,33,1,0697,3,2,44,01,09,2000,1,7,Z90,1,018,03,1,859,00,2,  ,    ,12,2000,1,044000,4,2,      ,2,      ,0166.5469
01,33,1,0699,1,1,37,01,08,1998,2,4,872,4,026,04,2,   ,  ,1,12,1998,  ,    ,2,      , ,2,      ,2,      ,0166.5469
01,33,1,0703,2,1,48,02,09,1999,2,4,Z90,1,081,24,1,985,57,2,  ,    ,09,2001,1,038200,4,2,      ,2,      ,0166.5469
01,33,1,0708,6,1,62,01,07,1998,2,3,Z90,1,080,24,1,846,26,1,05,2000,  ,    ,2,      , ,1,020000,2,      ,0166.5469
01,33,1,0708,6,2,54,02,07,2000,2,4,Z20,1,080,24,1,541,57,2,  ,    ,07,2002,1,012700,1,2,      ,2,      ,0166.5469
01,33,1,0716,3,2,31,03,02,2000,1,7,Z20,1,094,24,1,532,54,2,  ,    ,01,2002,1,032000,1,2,      ,2,      ,0155.9524
01,33,1,0717,2,2,35,03,06,2000,2,6,Z20,1,039,24,1,541,48,2,  ,    ,05,2002,1,013000,1,2,      ,2,      ,0155.9524
01,33,1,0719,2,1,38,03,09,1999,2,7,Z90,1,081,24,1,022,42,2,  ,    ,08,2001,1,060000,1,2,      ,2,      ,0155.9524
01,33,1,0720,3,2,29,02,01,1999,1,7,Z90,6,036,88,1,066,60,2,  ,    ,88,8888,1,100000,1,2,      ,2,      ,0155.9524
01,33,1,0728,3,1,30,01,09,1999,1,4,388,1,081,12,1,033,12,1,09,2000,  ,    ,1,030000,1,1,015000,2,      ,0155.9523
01,33,1,0730,3,2,26,03,09,2000,1,6,Z20,1,082,24,1,541,49,2,  ,    ,09,2002,1,010500,1,2,      ,2,      ,0155.9523
01,33,1,0730,3,1,25,01,09,1999,1,3,872,1,081,24,1,872,07,1,05,2000,  ,    ,1,010000,1,1,888888,2,      ,0155.9523
01,33,1,0739,2,2,34,01,12,1998,2,4,Z20,1,089,21,1,541,21,1,05,2000,  ,    ,2,      , ,1,072000,2,      ,0155.9523
01,33,1,0750,4,2,24,01,08,1999,2,3,Z20,1,082,24,1,541,13,2,  ,    ,08,2001,1,013000,1,2,      ,2,      ,0155.9524
01,33,1,0758,3,1,25,02,09,1999,1,6,Z90,1,094,11,1,982,11,1,08,2000,  ,    ,2,      , ,1,092000,1,001000,0195.0596
01,33,1,0771,4,2,31,02,06,1999,2,6,Z20,1,089,12,1,541,36,2,  ,    ,06,2001,1,060000,4,2,      ,2,      ,0155.9523
01,33,1,0779,2,2,37,03,02,2000,2,6,Z20,1,039,24,1,541,60,2,  ,    ,07,2001,1,030000,1,2,      ,2,      ,0155.9523
01,33,1,0780,1,2,83,01,11,1997,3,1,412,4,096,08,2,   ,  ,1,06,1998,  ,    ,2,      , ,2,      ,2,      ,0155.9523
01,33,1,0788,3,2,27,01,04,1998,2,6,067,6,096,30,1,599,30,2,  ,    ,09,2002,1,096000,1,2,      ,1,010000,0155.1953
01,33,1,0791,2,1,44,03,09,1999,2,4,Z20,1,047,24,1,872,60,2,  ,    ,03,2001,1,030000,4,2,      ,2,      ,0155.1953
01,33,1,0792,6,1,33,02,05,1999,2,7,139,1,081,24,1,311,60,2,  ,    ,03,2001,1,042000,1,2,      ,1,040000,0155.1953
01,33,1,0792,6,2,24,02,09,2000,2,4,451,1,095,24,1,541,48,2,  ,    ,09,2002,1,005000,1,1,025000,1,000700,0155.1953
01,33,1,0793,3,2,23,01,06,1999,1,4,451,1,089,24,1,859,12,2,  ,    ,06,2001,1,019000,1,2,      ,1,001900,0155.9523
01,33,1,0795,6,2,29,03,02,2000,1,5,946,1,039,24,1,541,56,2,  ,    ,10,2003,1,012000,1,2,      ,1,000500,0155.9523
01,33,1,0799,3,2,29,02,12,1998,1,4,Z20,1,082,24,1,541,60,2,  ,    ,12,2000,1,010000,4,2,      ,1,030000,0155.9523
01,33,1,0799,3,2,25,02,08,2000,1,6,Z20,1,039,24,1,541,23,2,  ,    ,08,2002,1,020000,4,1,040000,1,017000,0155.9523
