REGN,PROV,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT
1,28,1,13,2,2,38,2,7,2001,2,7,21,1,39,24,1,913,14,2,,,7,2003,1,20000,1,1,20000,1,1300,294.7411
1,28,1,17,1,1,59,3,4,2001,2,4,92,6,86,12,1,913,48,2,,,4,2002,1,30000,4,2,,1,5500,294.7411
1,28,1,24,4,1,25,1,9,2000,2,6,831,1,89,24,1,823,12,2,,,9,2002,1,19500,1,2,,2,,294.7411
1,28,1,26,3,1,31,3,8,2001,2,7,122,6,96,16,2,,,2,,,12,2002,2,,,2,,2,,294.7409
1,28,1,31,3,2,37,3,3,2000,2,6,733,1,39,24,1,913,60,2,,,3,2002,1,45000,1,2,,1,24000,294.7409
1,28,1,44,3,2,35,3,1,2001,2,6,21,1,39,24,1,931,57,2,,,1,2003,1,65000,1,2,,2,,294.7409
1,28,1,46,1,1,36,1,5,1997,2,4,642,1,82,59,1,834,52,2,,,4,2002,1,30000,4,2,,2,,294.7409
1,28,1,47,3,2,30,2,5,1999,1,3,21,1,82,23,1,913,55,1,4,2001,,,2,,,1,27000,1,45000,294.7409
1,28,1,57,1,1,32,3,2,2001,2,7,834,1,52,12,1,834,36,2,,,2,2002,1,60000,1,2,,2,,309.9603
1,28,1,62,3,1,53,3,5,2001,2,4,23,6,81,14,1,512,18,2,,,7,2002,2,,,1,25000,1,4500,294.7411
1,28,1,70,3,2,45,1,7,2001,1,4,21,1,82,24,1,913,2,2,,,7,2003,2,,,2,,2,,294.7411
1,28,1,70,3,2,43,1,7,2001,1,4,21,1,82,24,1,913,2,2,,,7,2003,2,,,2,,2,,294.7411
1,28,1,85,3,1,32,1,7,2001,1,6,724,1,89,36,1,724,2,2,,,7,2004,1,7500,1,2,,2,,274.1777
1,28,2,98,4,1,33,2,1,2000,2,4,921,6,96,23,1,921,47,2,,,12,2001,1,60000,4,2,,1,12500,496.1303
1,28,2,111,2,2,50,2,6,1998,2,7,21,1,39,40,1,913,58,2,,,10,2001,1,70000,4,2,,2,,496.1316
1,28,2,111,3,2,30,3,7,2001,1,6,21,1,39,3,1,913,51,2,,,10,2001,2,,,2,,2,,496.1316
1,28,2,111,4,2,26,1,2,1998,2,4,421,1,39,33,1,913,33,1,11,2000,,,2,,,2,,2,,496.1316
1,28,2,115,3,2,26,2,3,2001,2,4,21,1,39,24,1,913,58,2,,,3,2003,1,12000,1,2,,2,,496.1316
1,28,2,119,1,1,39,2,6,1999,2,4,712,1,81,27,1,712,48,1,9,2001,,,1,24000,4,1,15000,1,19000,496.1316
1,28,2,132,3,2,27,2,7,2001,1,4,523,1,39,24,1,913,58,2,,,7,2003,1,10000,1,1,60000,1,11500,496.1312
1,28,2,132,3,2,28,2,7,2001,2,4,913,1,39,24,1,913,58,2,,,7,2003,1,10000,1,1,50000,1,3500,496.1312
1,28,2,135,6,2,26,1,7,1999,1,4,913,1,82,99,1,513,26,2,,,99,9999,1,5000,1,2,,2,,496.1315
