REGN,FILLER,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT,P6M_IND
1,28,2,108,3,2,30,1,4,2000,1,4,913,1,94,37,1,913,29,2,,,6,2003,2,,,2,,2,,524.0217,1
1,28,2,170,2,2,37,1,9,2002,2,3,921,1,94,24,1,913,1,2,,,9,2004,2,,,2,,2,,571.6626,1
1,28,2,176,3,1,28,3,12,2001,1,7,21,1,59,12,1,834,48,2,,,11,2002,1,34000,1,2,,2,,571.6626,1
1,28,2,192,3,1,42,5,7,2002,2,7,23,1,47,12,1,834,52,2,,,5,2003,2,,,2,,2,,524.0245,1
1,28,1,59,6,2,45,2,8,2002,2,7,21,1,39,12,1,913,60,2,,,7,2003,1,15000,4,1,162000,2,,327.3856,1
1,28,2,193,3,2,26,2,8,2001,1,4,21,1,39,24,1,913,59,2,,,7,2003,1,18000,4,2,,1,1250,524.0231,1
1,28,2,205,2,2,36,1,6,2001,2,3,21,1,89,24,1,913,16,2,,,6,2003,1,7000,1,2,,2,,524.0224,1
1,28,2,219,3,2,29,3,3,2002,1,7,21,1,39,24,1,913,52,2,,,3,2004,1,30000,4,2,,2,,578.8983,1
1,28,2,221,1,1,33,1,12,2001,2,6,724,1,50,24,1,932,10,2,,,12,2003,1,90000,1,2,,1,20000,578.8983,1
1,28,2,222,1,1,47,2,3,2000,2,6,723,1,81,36,1,723,36,2,,,3,2003,1,60000,1,2,,2,,578.8983,1
1,28,2,224,2,2,40,2,12,2000,2,7,233,1,39,24,1,913,48,2,,,12,2002,1,21000,4,2,,1,7000,578.8983,1
1,28,2,112,2,2,40,2,11,2001,2,7,21,1,39,24,1,913,47,2,,,11,2003,1,25000,1,2,,2,,524.023,1
1,28,2,116,1,1,41,3,5,2002,2,4,712,3,47,24,1,913,60,2,,,5,2004,1,90000,1,2,,2,,524.023,1
1,28,2,116,2,2,37,3,5,2002,2,6,21,3,47,24,1,913,60,2,,,5,2004,1,90000,1,2,,2,,524.023,1
1,28,2,118,3,2,47,2,1,2001,1,2,21,1,39,24,1,913,45,2,,,3,2003,1,30000,1,2,,2,,524.023,1
1,28,2,120,2,2,32,1,12,2001,2,2,21,1,82,24,1,513,10,2,,,12,2003,1,42000,1,2,,2,,524.023,1
1,28,1,9,2,2,40,1,4,2001,2,4,21,1,39,23,1,913,17,2,,,3,2003,1,60000,1,2,,2,,311.3105,1
1,28,1,14,3,2,25,1,11,2001,1,7,223,1,888,24,1,223,11,2,,,11,2003,1,51000,1,2,,2,,373.5729,1
1,28,1,20,6,1,62,1,9,2002,2,2,712,6,96,88,1,921,1,2,,,88,8888,2,,,2,,2,,373.5729,
