W_REGN,W_PSU,W_HHID,SFILLER,SET1,SET2,SREL,SSEX,SAGE,TLEFT,DATE_LEFT_MONTH,DATE_LEFT_YEAR,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,DATE_RETURNED_MONTH,DATE_RETURNED_YEAR,DATE_EXPECTED_MONTH,DATE_EXPECTED_YEAR,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT,PRRCD,LFS_IND,P6M_IND
01,2802034000,00170114,0011211250001002,01,01,3,1,26,02,09,2003,2,7,7411,1,047,10,1,9151,10,2,,,07,2004,2,,,1,030000,2,,00378.0649,,1,1
01,2803020000,00210022,0013213310002002,01,01,3,2,32,02,12,2001,1,3,0210,1,039,36,1,9131,45,2,,,12,2004,1,045000,1,2,,2,,00380.4386,,1,1
01,2806011000,01060206,0011221040004202,01,01,3,1,23,01,12,2002,2,3,0210,8,096,88,1,5220,09,2,,,88,8888,1,006000,1,2,,1,000400,00353.3423,,1,1
01,2808004000,01310061,0011222050004402,01,01,3,2,33,02,01,2003,1,4,0210,1,039,24,1,9131,33,2,,,12,2004,1,009000,1,2,,2,,00381.8841,,1,1
01,2809004000,01370089,0014212310005502,01,01,3,2,29,01,12,2002,1,7,0210,1,039,24,1,5131,09,2,,,12,2004,1,015000,1,2,,2,,00380.7277,,1,1
01,2809004000,01400135,0014212310005502,01,01,4,1,31,01,04,2003,2,7,2154,1,081,01,1,2154,01,2,,,04,2004,1,371000,1,2,,2,,00379.2167,,1,1
01,2809016000,01560176,0011213230005702,01,03,3,2,33,02,03,2003,1,7,2231,1,001,24,1,2231,60,2,,,03,2004,2,,,1,050000,1,001500,00380.4386,,1,1
01,2809016000,01560176,0011213230005702,03,03,3,2,53,99,99,9999,1,6,9999,1,999,99,9,9999,99,9,99,9999,,,9,999999,9,9,999999,9,999999,00331.5367,,1,2
01,2809016000,01560176,0011213230005702,02,03,4,1,35,02,06,2003,2,4,5220,1,081,24,1,7141,54,2,,,06,2005,1,033000,4,1,020000,1,005000,00345.1121,,1,1
01,2809016000,01610286,0011213230005702,01,01,3,2,26,01,10,1998,1,5,0231,1,047,64,1,5131,61,2,,,12,2003,1,190000,1,2,,2,,00380.4386,,1,1
01,2812030000,02020234,0013212060006702,01,01,6,2,37,04,04,2003,1,5,0210,1,081,09,1,2231,55,2,,,01,2004,2,,,2,,1,000500,00346.7508,,1,1
01,2812041000,02150185,0013211100008502,01,01,3,2,37,01,03,2001,2,7,2459,6,018,31,2,,,2,,,12,2003,1,012000,1,2,,2,,00331.7294,,2,
01,2812059000,02210093,0014211020009202,01,04,6,2,46,02,04,2001,2,3,9131,6,083,30,1,9131,60,2,,,12,2003,1,168000,1,2,,2,,00331.7294,,2,
01,2812059000,02210093,0014211020009202,02,04,6,1,47,02,04,2001,2,1,1316,6,083,30,1,9211,60,2,,,12,2003,2,,,2,,2,,00331.7294,,2,
01,2812059000,02210093,0014211020009202,03,04,6,1,26,01,04,2001,2,7,1316,6,083,30,1,5123,28,2,,,12,2003,2,,,2,,2,,00331.7294,,2,
01,2812059000,02210093,0014211020009202,04,04,6,2,22,01,05,2003,2,7,0210,6,083,88,1,5123,04,2,,,88,8888,2,,,2,,2,,00331.7294,,2,
01,2812059000,02290253,0014211020009202,01,01,6,2,28,02,10,2001,1,4,5123,1,039,88,1,9131,60,2,,,88,8888,1,025500,1,2,,1,005500,00331.7294,,2,1
01,2816005000,02670070,0014221120010702,01,01,2,2,48,01,07,2002,2,4,0210,1,081,36,1,9131,14,2,,,11,2005,1,006000,1,2,,2,,00332.0406,,1,1
01,2816005000,02690079,0014221120010702,01,01,3,1,32,02,03,2002,2,7,9322,1,089,24,1,0930,39,2,,,03,2004,1,012000,1,2,,2,,00379.5046,,1,1
01,2816019000,02730025,0011212140010902,01,01,1,2,49,01,11,2002,3,4,0210,1,039,24,1,9131,11,2,,,11,2004,1,006000,1,2,,2,,00331.7886,,1,1
01,2816019000,02790064,0011212140010902,01,01,2,2,39,01,02,2003,2,6,0210,1,039,24,1,9131,06,2,,,03,2005,1,002000,3,2,,2,,00346.7508,,1,1
01,2819021000,03350067,0013221200012801,02,02,3,2,35,02,09,2001,2,4,0231,1,039,30,1,9131,38,2,,,04,2004,1,030000,1,2,,2,,00347.0141,,1,1
01,2819021000,03350067,0013221200012801,01,02,3,2,32,02,04,2001,1,6,0231,1,039,36,1,9131,42,2,,,04,2004,1,022000,1,2,,2,,00381.0168,,1,1
01,2819021000,03380088,0013221200012802,01,01,2,2,35,03,04,2002,2,4,0210,1,039,24,1,9131,54,2,,,04,2004,1,006000,1,2,,2,,00347.0141,,1,1
01,2823001000,03500031,0014213070016002,01,01,3,2,31,01,11,1998,2,3,0210,1,089,24,1,5131,24,1,11,2000,,,2,,,2,,2,,00332.4874,,2,2
01,2823001000,03510045,0014213070016002,03,03,6,1,25,02,05,2003,1,4,0940,6,096,10,1,5122,60,2,,,03,2004,1,010000,4,1,090000,2,,00332.4874,,2,
01,2823001000,03510045,0014213070016002,01,03,6,1,60,02,05,2003,2,1,0222,6,096,10,1,9151,60,2,,,03,2004,1,010000,4,1,090000,1,012000,00332.4874,,2,
01,2823001000,03510045,0014213070016002,02,03,6,2,56,02,05,2003,2,1,0210,6,096,10,1,9141,60,2,,,03,2004,1,010000,4,1,090000,1,012000,00332.4874,,2,
01,2823001000,03520057,0014213070016002,01,01,2,1,25,04,03,2003,2,6,0940,6,096,12,1,9131,38,2,,,03,2004,1,048000,4,2,,2,,00332.4874,,2,
01,2823001000,03610183,0014213070016002,01,01,2,2,41,04,12,1999,2,3,0210,1,082,47,1,9131,60,2,,,11,2003,1,030000,1,2,,2,,00346.4875,,1,1
01,2823001000,03620195,0014213070016002,01,01,3,2,38,03,05,2001,2,2,0210,6,096,88,1,9322,60,2,,,88,8888,1,060000,4,2,,2,,00332.4874,,2,
