PREG,PHHNUM,PRPL,PPSU,PQ1_LNO,PQ2_REL,PQ3_SEX,PQ4_AGE,PQ5_TMSLEFT,PQ6_DTLEFT,PQ7_MSTAT,PQ8_HGRADE,PQ9_USOCC,PQ10_REASON,PQ11_CTRY,PQ12_STAY,PQ13_INDWORK,PQ14_OCCUP1,PQ15_NOMONTH,PQ16_RET,PQ17_DTRET,PQ18_DTEXP,PQ19_CASHREM,PQ20_CASHAMT,PQ21_MODE,PQ22_RET6MOS,PQ23_CASHHOME,PQ24_INKIND,PQ25_KINDAMT,PSWGT,PP6M_IND,PSVYYR
01,000001,1,28001,02,02,2,30,02,082004,2,05,02,1,213,24,1,91,24,2,      ,082006,2,      , ,2,      ,2,      ,000402.7595,1,2004
01,000002,2,28004,02,02,2,35,02,122003,2,65,02,1,213,12,1,22,60,2,      ,122004,1,005000,1,2,      ,2,      ,000353.6799,1,2004
01,000003,2,28004,10,03,2,38,01,032001,1,04,91,1,211,48,1,91,42,2,      ,042005,1,003000,4,2,      ,2,      ,000353.6799,1,2004
01,000004,2,28004,02,02,2,37,02,042004,2,04,92,1,211,24,1,91,29,2,      ,042006,1,008000,1,1,030000,2,      ,000353.6799,1,2004
01,000005,3,28005,05,05,2,38,01,112001,2,05,02,1,233,60,1,91,34,2,      ,102006,1,030000,4,2,      ,1,002500,000355.8348,1,2004
01,000006,3,28005,05,02,2,43,02,122002,2,05,02,1,211,24,1,91,60,2,      ,122004,1,030000,1,2,      ,2,      ,000355.8348,1,2004
01,000007,3,28005,03,03,2,30,02,032003,1,65,09,1,235,24,1,91,58,2,      ,032005,1,004500,1,2,      ,2,      ,000405.2135,1,2004
01,000007,3,28005,04,03,1,26,03,062004,1,68,09,1,400,12,1,83,12,2,      ,062005,1,072000,1,2,      ,2,      ,000398.9369,1,2004
01,000008,1,28006,03,05,1,39,03,082004,2,04,09,1,214,24,1,51,54,2,      ,072006,1,014000,4,2,      ,2,      ,000349.4925,1,2004
01,000008,1,28006,04,03,2,45,03,082004,2,04,02,1,214,24,1,91,54,2,      ,072006,1,014000,4,2,      ,2,      ,000337.8968,1,2004
01,000009,1,28006,02,02,2,36,03,012003,2,61,02,1,211,88,1,91,60,2,      ,888888,1,030000,1,2,      ,1,001000,000355.0267,1,2004
01,000010,1,28006,02,06,2,26,01,022000,1,05,02,1,400,32,1,91,32,1,102002,      ,2,      , ,2,      ,2,      ,000404.2933,2,2004
01,000011,1,28009,01,01,1,34,14,032004,2,65,14,1,222,60,1,21,60,1,072004,      ,1,480000,1,1,000000,2,      ,000397.4269,1,2004
01,000012,1,28009,06,03,2,36,02,062003,1,05,52,1,213,88,1,91,52,2,      ,888888,1,036000,1,2,      ,2,      ,000354.4880,1,2004
01,000013,2,28010,05,06,1,25,04,072003,1,04,09,3,500,24,1,91,52,2,      ,072005,1,020000,4,2,      ,2,      ,000398.9369,1,2004
01,000014,2,28010,04,03,1,22,01,072004,1,68,92,1,400,10,1,72,02,2,      ,042005,1,022400,1,2,      ,2,      ,000360.7844,1,2004
01,000015,3,28011,04,03,1,34,01,072002,2,65,23,1,214,18,1,82,18,1,112003,      ,2,      , ,2,      ,2,      ,000397.7289,2,2004
01,000015,3,28011,05,05,2,32,01,082002,2,65,22,1,214,19,1,82,19,1,032004,      ,2,      , ,2,      ,2,      ,000403.9865,2,2004
01,000016,3,28011,02,08,1,29,02,102002,2,65,02,1,213,14,1,82,50,1,122003,      ,2,      , ,2,      ,2,      ,000397.7289,2,2004
01,000017,3,28011,01,01,1,42,01,082001,2,68,91,1,232,88,1,71,37,2,      ,888888,1,083100,4,2,      ,1,006500,000349.2273,1,2004
01,000018,3,28012,02,02,2,48,02,122003,2,05,02,1,211,12,1,91,60,2,      ,122004,1,060000,1,2,      ,2,      ,000336.6149,1,2004
01,000019,3,28012,01,01,2,44,02,012003,1,05,91,1,213,12,1,91,51,1,012004,      ,2,      , ,2,      ,2,      ,000353.6799,2,2004
01,000020,3,28012,04,03,2,33,02,042004,2,04,02,1,212,88,1,24,38,2,      ,888888,2,      , ,2,      ,2,      ,000402.7595,1,2004
01,000021,4,28013,06,03,1,34,01,112000,2,05,93,1,233,24,1,72,24,1,122002,      ,2,      , ,2,      ,2,      ,000396.5209,2,2004
01,000022,4,28014,02,02,2,23,99,999999,2,04,99,1,600,99,9,99,99,9,999999,      ,9,999999,9,9,999999,9,999999,000376.9692,2,2004
01,000023,4,28015,03,03,1,39,03,052004,2,05,09,3,500,88,1,82,60,2,      ,888888,2,      , ,1,010000,1,005000,000349.4925,1,2004
01,000023,4,28015,04,05,2,39,03,052004,2,68,09,3,500,88,1,51,52,2,      ,888888,2,      , ,1,000000,2,      ,000355.0267,1,2004
01,000023,4,28015,05,06,1,11,03,052004,1,01,02,4,500,88,2,  ,  ,2,      ,888888,2,      , ,1,000000,2,      ,000343.6991,2,2004
01,000023,4,28015,06,06,2,06,03,052004, ,00,  ,4,500,88,2,  ,  ,2,      ,888888,2,      , ,1,000000,2,      ,000356.2670,2,2004
01,000024,2,28017,03,05,2,42,03,022004,4,05,02,1,234,36,1,91,24,2,      ,042007,1,037000,1,2,      ,2,      ,000354.7574,1,2004
01,000025,2,28017,03,03,2,29,01,042004,1,04,52,1,211,24,1,91,05,2,      ,042006,1,043000,1,2,      ,2,      ,000403.9865,1,2004
01,000026,2,28017,03,03,2,24,02,062004,1,63,34,1,213,12,1,82,24,2,      ,082005,1,015000,1,1,030000,2,      ,000375.8278,1,2004
01,000027,2,28018,08,03,2,25,01,122002,1,65,22,1,500,48,1,51,22,2,      ,122006,2,      , ,2,      ,2,      ,000429.7236,1,2004
01,000028,2,28018,06,05,1,34,03,062004,2,05,52,1,400,12,1,92,60,2,      ,052005,1,080000,1,1,056000,2,      ,000423.0673,1,2004
01,000028,2,28018,07,03,2,36,03,062004,2,05,02,1,400,12,1,91,60,2,      ,052005,2,      , ,1,000000,2,      ,000377.3582,1,2004
01,000029,2,28018,05,03,2,26,03,052004,1,65,02,1,233,12,1,22,17,2,      ,032005,1,020000,4,1,016800,1,023500,000429.7236,1,2004
01,000030,3,28019,02,02,2,37,02,082003,2,04,02,1,211,24,1,91,38,2,      ,072005,1,015000,1,2,      ,2,      ,000355.0267,1,2004
01,000031,3,28019,01,01,1,34,01,112003,2,03,61,1,300,24,1,93,10,2,      ,102005,1,012000,1,2,      ,2,      ,000398.0309,1,2004
01,000032,4,28020,02,02,2,22,02,062002,2,05,02,3,400,54,1,51,33,2,      ,122006,1,072000,1,2,      ,2,      ,000399.7709,1,2004
01,000033,4,28020,05,05,1,36,02,092004,2,05,09,1,234,24,1,82,60,2,      ,092006,1,060000,4,1,050000,2,      ,000371.4758,1,2004
01,000034,1,29001,05,02,2,50,02,122003,2,04,02,1,222,15,1,91,60,2,      ,032005,1,030000,1,2,      ,2,      ,000338.1531,1,2004
01,000035,4,29002,88,04,2,35,02,092004,2,05,02,3,400,88,1,91,60,2,      ,888888,2,      , ,1,200000,1,006500,000374.7404,1,2004
01,000036,4,29003,04,02,2,39,02,062002,2,03,92,1,222,30,1,91,48,2,      ,122004,1,012000,1,2,      ,2,      ,000355.2961,1,2004
01,000037,4,29003,09,03,2,31,02,122002,2,03,92,1,211,24,1,91,49,2,      ,122004,1,015000,1,2,      ,2,      ,000404.6000,1,2004
01,000038,4,29003,06,03,2,26,02,092002,2,05,91,1,211,24,1,91,48,1,092004,      ,1,015000,1,1,040000,2,      ,000404.6000,1,2004
01,000039,3,29004,01,01,1,40,03,072003,2,65,09,1,212,10,1,83,30,1,042004,      ,2,      , ,1,100000,2,      ,000350.5532,1,2004
01,000040,3,29004,05,02,2,28,02,042002,2,04,02,1,400,24,1,91,49,1,042004,      ,1,020000,1,1,010000,2,      ,000405.5203,1,2004
