REG,HHNUM,RPL,PSU,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9_USOCC,Q10_REASON,Q11_CTRY,Q12_STAY,Q13_INDWORK,Q14_OCCUP1,Q15_NOMONTH,Q16_RET,Q17_DTRET,Q18_DTEXP,Q19_CASHREM,Q20_CASHAMT,Q21_MODE,Q22_RET6MOS,Q23_CASHHOME,Q24_INKIND,Q25_KINDAMT,SWGT,P6M_IND
01,00001,1,00010,81,02,2,68,02,022004,2,02,0210,6,500,36,2,    ,  ,2,      ,022007,2,      , ,2,      ,2,      ,000399.4706, 
01,00002,2,00021,02,02,2,39,01,112002,2,04,0210,1,211,10,1,9131,10,1,082003,      ,2,      , ,2,      ,2,      ,000409.1287,2
01,00003,2,00021,03,05,1,31,01,072006,2,04,6111,1,214,24,1,8122,02,2,      ,072008,1,046000,1,2,      ,2,      ,000464.6330,1
01,00004,2,00021,03,03,2,22,01,082006,1,05,0231,1,234,24,1,9131,01,2,      ,082008,2,      , ,2,      ,2,      ,000444.3205,1
01,00005,2,00021,02,02,2,29,01,092006,2,04,9211,1,235,24,1,9131,00,2,      ,092008,2,      , ,2,      ,2,      ,000476.9586,1
01,00006,2,00021,04,05,2,34,02,052006,2,61,0210,3,400,88,1,9131,54,2,      ,888888,1,180000,1,1,250000,1,055000,000476.9586,1
01,00007,3,00032,01,01,1,51,04,092005,2,65,0920,1,212,15,1,3141,48,2,      ,122006,1,120000,1,2,      ,2,      ,000360.5635,1
01,00007,3,00032,03,03,1,25,01,052006,1,68,0920,1,400,09,1,8340,04,2,      ,022007,1,072000,1,2,      ,2,      ,000454.1079,1
01,00008,3,00032,02,02,2,41,02,112004,2,04,0210,1,211,23,1,9131,56,2,      ,102006,1,045000,1,2,      ,1,002500,000399.8608,1
01,00009,1,00042,07,06,2,28,01,022002,1,63,4115,1,211,73,1,9131,55,2,      ,032008,1,045000,1,2,      ,2,      ,000478.3841,1
01,00010,1,00042,01,01,2,49,02,042006,3,04,9133,1,211,23,1,9131,60,2,      ,032008,1,072000,1,2,      ,2,      ,000374.7505,1
01,00011,1,00044,02,02,2,45,03,042005,2,01,0210,1,211,23,1,9131,60,2,      ,032007,1,030000,4,2,      ,2,      ,000365.1700,1
01,00012,4,00055,04,05,2,32,02,012005,2,05,0210,1,211,30,1,9131,60,2,      ,072007,1,060000,1,2,      ,2,      ,000464.7427,1
01,00013,4,00055,03,03,2,23,01,072005,1,64,0210,1,400,24,1,4113,14,2,      ,072007,1,120000,1,2,      ,1,005000,000432.9405,1
01,00014,1,00057,02,02,2,33,02,112005,2,04,0231,1,222,24,1,9131,24,2,      ,112007,1,060000,4,2,      ,2,      ,000464.3898,1
01,00015,2,00052,02,02,2,35,01,122004,2,05,5220,1,231,24,1,9131,21,2,      ,122006,1,012000,1,2,      ,2,      ,000412.3565,1
01,00016,3,00067,02,02,2,46,02,082006,2,66,9112,1,231,24,1,9131,56,2,      ,082008,1,058000,1,1,020000,1,008000,000374.7720,1
01,00017,3,00067,05,08,1,30,02,092005,2,68,4121,1,400,25,1,8340,30,2,      ,102007,1,090000,1,2,      ,2,      ,000466.0485,1
01,00018,3,00067,02,02,2,44,03,122005,2,05,9112,1,211,16,1,9131,57,2,      ,042007,1,049000,4,2,      ,1,005000,000410.3750,1
01,00019,3,00085,09,03,1,24,01,052005,1,05,7141,1,213,20,1,9322,16,2,      ,012007,1,035000,5,2,      ,2,      ,000385.5105,1
01,00020,3,00085,05,08,2,41,02,092005,2,63,0210,1,234,60,1,9131,48,2,      ,092010,1,015000,1,2,      ,2,      ,000397.4393,1
01,00021,4,00092,03,03,2,34,01,102005,1,65,2153,1,500,36,1,2153,11,2,      ,102008,1,300000,1,2,      ,2,      ,000463.3312,1
01,00021,4,00092,04,03,2,26,01,102005,1,61,2341,1,213,24,1,2399,11,2,      ,102007,1,010000,3,2,      ,2,      ,000463.3312,1
01,00022,4,00107,03,03,2,30,02,112005,1,04,0210,1,211,25,1,9131,34,2,      ,122007,1,006000,1,2,      ,2,      ,000478.3841,1
01,00023,4,00107,01,01,1,57,02,072006,2,04,6111,1,211,24,1,9131,48,2,      ,072008,1,012000,1,2,      ,2,      ,000385.9362,1
01,00023,4,00107,02,02,2,57,02,072006,2,04,0210,1,211,24,1,9131,48,2,      ,072008,1,012000,1,2,      ,2,      ,000394.1094,1
01,00024,4,00107,03,05,1,35,01,092004,2,05,0920,1,211,25,1,9132,24,2,      ,102006,1,009000,1,2,      ,2,      ,000395.7837,1
01,00024,4,00107,04,03,2,36,02,112004,2,05,0210,1,211,13,1,9131,36,1,122005,      ,2,      , ,2,      ,2,      ,000410.3514,2
01,00024,4,00107,08,03,1,33,02,092004,2,65,0920,1,213,25,1,7241,48,2,      ,102006,1,024000,1,2,      ,2,      ,000466.0217,1
01,00024,4,00107,09,05,2,28,02,072004,2,05,0210,1,222,36,1,9131,48,2,      ,072007,1,010000,1,1,010000,2,      ,000478.3841,1
01,00025,2,00123,06,03,2,24,01,062005,1,05,0210,1,211,24,1,9131,15,2,      ,062007,1,009000,4,2,      ,2,      ,000446.1310,1
01,00026,2,00123,03,02,2,41,02,082005,2,05,0210,1,211,24,1,9131,48,2,      ,082007,1,030000,4,2,      ,2,      ,000410.7958,1
01,00027,2,00123,05,02,2,47,01,062003,2,04,9211,1,500,42,1,7433,39,2,      ,122006,1,030000,4,2,      ,2,      ,000375.1563,1
01,00028,4,00160,02,02,2,44,01,122001,2,03,9211,1,222,60,1,9131,57,2,      ,122006,1,003000,4,2,      ,1,012000,000410.7958,1
01,00029,4,00160,03,03,2,23,01,032006,1,04,9322,1,211,23,1,9131,06,2,      ,022008,1,031000,1,2,      ,1,002000,000446.1310,1
01,00030,1,00175,05,02,2,42,02,112005,2,05,0210,1,211,88,1,9131,50,2,      ,888888,1,024000,1,2,      ,2,      ,000399.2555,1
01,00031,1,00175,03,03,2,33,02,062003,2,05,5220,1,222,14,1,9131,32,1,082004,      ,2,      , ,2,      ,2,      ,000465.4485,2
01,00032,4,00169,03,03,2,23,01,122004,1,68,0232,1,223,24,1,9131,21,2,      ,122006,1,017500,1,2,      ,2,      ,000433.5980,1
01,00033,4,00169,04,03,2,24,01,102005,1,05,0232,1,234,24,1,9131,11,2,      ,102007,1,030000,1,2,      ,2,      ,000433.5980,1
