RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_RET6MOS,RQ23_CASHHOME,RQ24_INKIND,RQ25_KINDAMT,RSWGT,RP6M_IND
01,0001,003,00020,08,03,2,36,01,02,2004,1,05,323,1,233,49,1,323,43,2,,,03,2008,1,0030000,4,2,,2,,000402.8506,1
01,0002,003,00020,07,08,2,52,02,10,2006,1,05,323,3,400,29,1,913,50,2,,,03,2009,1,0045000,4,2,,2,,000366.0236,1
01,0003,003,00020,07,07,2,64,07,08,2007,4,65,223,3,400,11,1,223,58,2,,,07,2008,1,0042000,5,1,0000000,1,0019000,000377.9180,1
01,0004,002,00017,04,02,2,40,01,08,2007,2,04,611,1,211,24,1,913,01,2,,,08,2009,2,,,2,,2,,000403.4628,1
01,0005,002,00021,02,02,2,40,01,10,2002,2,04,021,1,211,16,1,913,16,1,08,2003,,,2,,,2,,2,,000401.9322,2
01,0006,002,00021,03,05,1,32,01,07,2006,2,04,611,1,214,24,1,721,14,2,,,07,2008,1,0036000,1,2,,2,,000468.4378,1
01,0007,002,00021,02,02,2,63,03,08,2007,2,05,523,4,500,07,2,,,2,,,03,2008,2,,,2,,2,,000377.0565,2
01,0008,002,00021,03,03,2,23,01,08,2006,1,05,023,1,234,24,1,913,13,2,,,08,2008,1,0018000,1,2,,2,,000449.6208,1
01,0009,002,00021,03,03,2,30,02,08,2006,1,04,021,1,222,24,1,913,25,2,,,08,2008,2,,,2,,2,,000480.8464,1
01,0010,002,00021,81,05,2,35,02,01,2005,2,61,021,1,400,36,1,513,54,2,,,01,2008,1,0036000,1,2,,2,,000392.0946,1
01,0011,002,00021,81,02,2,39,01,05,2006,2,61,234,6,500,24,1,422,16,2,,,06,2008,2,,,2,,2,,000392.0946,
01,0011,002,00021,82,03,2,07,01,05,2006,,00,,6,500,88,2,,,2,,,88,8888,2,,,2,,2,,000392.0946,
01,0011,002,00021,83,03,1,05,01,05,2006,,00,,6,500,88,2,,,2,,,88,8888,2,,,2,,2,,000392.0946,
01,0011,002,00021,84,03,2,02,01,05,2006,,00,,6,500,88,2,,,2,,,88,8888,2,,,2,,2,,000392.0946,
01,0012,002,00021,02,03,2,24,01,04,2005,2,05,023,1,234,24,1,512,24,1,04,2007,,,2,,,1,0033000,2,,000449.6208,1
01,0012,002,00021,04,08,2,32,01,11,2006,1,61,233,1,234,24,1,422,10,2,,,11,2008,1,0012000,4,2,,2,,000480.8464,1
01,0012,002,00021,05,08,2,33,01,04,2005,1,65,223,1,234,49,1,512,29,2,,,05,2009,1,0005000,4,2,,2,,000480.8464,1
01,0013,003,00032,03,05,2,29,01,09,2007,2,61,233,1,500,36,2,,,2,,,08,2010,2,,,2,,2,,000520.9897,2
01,0014,001,00042,04,07,2,56,02,04,2006,3,04,021,1,211,24,1,913,48,2,,,04,2008,1,0030000,1,2,,2,,000378.4924,1
01,0015,001,00044,02,02,2,46,04,08,2007,2,04,021,1,211,23,1,913,59,2,,,07,2009,1,0030000,1,1,0100000,2,,000367.4142,1
01,0016,001,00044,06,05,1,26,01,07,2007,2,04,931,1,232,23,2,,,2,,,06,2009,1,0006000,5,2,,2,,000471.2920,2
01,0017,004,00055,06,08,2,58,01,12,2005,4,02,913,1,211,24,1,913,21,2,,,12,2007,1,0015000,5,2,,2,,000378.2052,1
01,0018,004,00055,03,03,2,22,01,05,2006,1,65,023,1,234,36,1,215,14,2,,,05,2009,2,,,2,,2,,000450.9905,1
01,0019,004,00055,02,02,2,39,02,06,2004,2,03,911,1,213,88,1,913,51,2,,,88,8888,1,0080000,1,2,,2,,000403.1567,1
01,0020,001,00057,81,03,2,27,01,03,2004,2,05,522,1,214,48,1,522,42,2,,,03,2008,1,0073000,1,2,,2,,000392.9905,1
01,0021,001,00057,81,05,1,28,02,12,2006,2,04,611,1,500,88,1,931,60,2,,,88,8888,1,0053000,4,2,,2,,000392.9905,1
01,0022,001,00057,02,02,2,33,02,11,2005,2,04,092,1,222,24,1,513,60,2,,,10,2007,1,0080000,5,2,,2,,000481.9451,1
01,0023,002,00052,02,02,2,37,01,12,2003,2,05,131,1,231,38,1,913,38,1,02,2007,,,2,,,2,,2,,000404.3812,2
01,0024,002,00052,03,03,1,22,01,09,2007,1,05,921,1,222,24,1,643,00,2,,,09,2009,2,,,2,,2,,000415.5384,1
01,0025,002,00052,01,01,1,35,02,07,2005,2,05,311,1,233,24,1,311,39,1,07,2007,,,2,,,1,0200000,2,,000403.8205,1
01,0025,002,00052,02,02,2,30,01,07,2005,2,05,522,1,211,37,1,913,26,2,,,08,2008,2,,,2,,2,,000483.7762,1
01,0026,003,00067,03,03,2,35,02,12,2004,1,04,911,1,234,31,1,913,45,1,07,2007,,,1,0021000,5,1,0010000,2,,000403.1567,1
01,0027,003,00067,04,05,2,26,01,11,2006,2,05,021,1,222,24,1,913,10,2,,,11,2008,1,0023000,1,2,,2,,000482.3113,1
01,0028,003,00085,81,03,1,35,02,05,2006,2,65,113,3,500,88,1,223,52,2,,,88,8888,1,0060000,4,2,,2,,000392.0946,1
01,0028,003,00085,82,05,2,34,01,02,2006,2,61,231,3,500,88,2,,,2,,,88,8888,2,,,2,,2,,000392.0946,2
01,0028,003,00085,83,06,1,09,01,05,2006,,01,,6,500,88,2,,,2,,,88,8888,2,,,2,,2,,000392.0946,
01,0029,003,00085,81,06,1,11,01,02,2006,1,01,023,6,500,88,2,,,2,,,88,8888,2,,,2,,2,,000392.0946,
01,0030,003,00085,81,02,1,37,03,02,2006,2,05,714,6,500,88,1,714,58,2,,,88,8888,1,0060000,5,2,,2,,000392.0946,
01,0030,003,00085,82,03,1,10,01,11,2004,1,01,023,6,500,88,2,,,2,,,88,8888,2,,,2,,2,,000392.0946,
01,0031,003,00085,06,03,1,34,03,09,2007,1,65,412,1,234,23,1,412,56,2,,,08,2009,2,,,1,0100000,2,,000468.4378,1
01,0032,004,00092,01,01,2,51,01,07,2003,2,61,234,1,400,88,1,913,50,2,,,88,8888,1,0060000,1,2,,1,0020000,000365.1892,1
01,0033,004,00092,81,04,1,54,02,05,2006,2,04,832,6,500,43,1,913,45,2,,,12,2009,1,0030000,4,2,,2,,000392.0946,
01,0033,004,00092,82,08,2,52,02,05,2006,2,02,743,6,500,43,1,512,45,2,,,12,2009,2,,,2,,2,,000392.0946,
01,0034,004,00092,02,02,2,37,02,03,2007,2,65,231,1,400,13,1,131,60,2,,,04,2008,1,0060000,1,2,,1,0100000,000401.9322,1
01,0035,004,00092,05,05,2,35,02,05,2007,2,05,021,1,222,23,1,913,40,2,,,04,2009,1,0002000,1,2,,2,,000401.9322,1
01,0036,004,00092,06,06,1,28,01,04,2006,1,61,231,1,214,24,1,233,17,2,,,04,2008,1,0012500,5,2,,2,,000468.4378,1
01,0037,004,00099,02,02,2,49,03,01,2006,2,63,021,1,211,35,1,913,56,2,,,12,2008,1,0026000,1,2,,2,,000367.4142,1
01,0037,004,00099,03,03,2,28,01,05,2007,1,63,021,1,211,23,1,913,04,2,,,04,2009,1,0010000,1,2,,2,,000483.7762,1
01,0037,004,00099,05,03,2,25,01,02,2007,2,63,021,1,500,36,1,513,07,2,,,02,2010,1,0015000,1,2,,2,,000483.7762,1
01,0038,004,00099,02,02,2,39,02,04,2006,2,05,143,1,211,24,1,913,49,2,,,04,2008,1,0040000,1,2,,2,,000404.3812,1
01,0039,004,00107,01,01,2,57,01,07,2007,3,01,021,4,211,05,2,,,2,,,12,2007,2,,,2,,2,,000378.4924,2
01,0040,004,00107,02,02,2,50,01,07,2006,2,05,021,1,211,24,1,913,14,2,,,07,2008,1,0015000,1,1,0010000,1,0005000,000366.5798,1
01,0041,002,00113,02,02,2,31,01,10,2005,2,05,921,1,235,26,1,913,23,2,,,12,2007,1,0028000,4,2,,2,,000482.3113,1
01,0042,002,00123,05,03,2,26,01,10,2005,1,05,021,1,211,24,1,913,24,2,,,10,2007,1,0030000,1,2,,2,,000512.0666,1
01,0043,002,00123,03,02,2,42,03,12,2006,2,05,021,1,211,12,1,913,60,2,,,12,2007,1,0025000,1,2,,2,,000428.0287,1
01,0044,002,00123,06,03,2,30,03,05,2007,2,65,223,1,500,60,1,223,60,2,,,05,2012,2,,,1,0090000,1,0016500,000512.0666,1
01,0045,003,00128,01,01,2,48,01,07,2007,3,61,233,3,500,88,2,,,2,,,88,8888,2,,,2,,2,,000366.5798,2
01,0046,004,00160,02,02,2,44,03,06,2007,2,02,921,1,222,23,1,913,60,2,,,05,2009,1,0020000,1,1,0060000,2,,000402.8506,1
01,0047,004,00160,03,03,2,31,02,07,2006,1,05,743,1,211,24,1,913,60,2,,,07,2008,1,0035000,1,2,,1,0001000,000481.9451,1
01,0048,004,00160,02,02,2,37,01,06,2006,2,04,921,1,211,22,1,913,14,2,,,04,2008,1,0048000,1,2,,1,0002500,000402.8506,1
01,0049,001,00175,04,02,2,43,02,04,2007,2,05,021,1,211,24,1,913,60,2,,,04,2009,1,0012000,1,2,,2,,000403.7689,1
