RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17_DTRET,RQ18_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_REMSPENT,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0001,001,00010,02,02,2,32,01,012007,2,04,131,1,211,25,1,913,25,1,022009,      ,2,       , ,                    ,2,       ,2,       ,000521.0914,2
01,0002,001,00010,81,02,2,28,01,072006,2,04,021,6,211,88,1,913,38,2,      ,888888,2,       , ,                    ,2,       ,2,       ,000403.2879, 
01,0003,003,00020,01,01,2,44,01,052007,3,04,021,1,234,35,1,913,28,2,      ,042010,1,0060000,1,10302070            ,2,       ,2,       ,000423.4268,1
01,0004,003,00020,02,04,2,40,02,052008,1,04,921,1,211,23,1,913,48,2,      ,042010,1,0055000,4,10402060            ,2,       ,2,       ,000423.4268,1
01,0005,002,00017,05,05,2,24,02,042008,2,65,021,1,214,25,1,913,27,2,      ,052010,1,0020000,1,        3025        ,2,       ,2,       ,000467.6377,1
01,0006,002,00017,02,02,2,38,01,082008,2,04,021,1,213,25,1,913,13,2,      ,092010,1,0014000,1,10502020            ,2,       ,2,       ,000424.0704,1
01,0007,002,00021,01,01,1,56,03,052009,2,05,642,1,233,23,1,712,50,2,      ,042011,1,0048000,4,1100                ,1,0150000,2,       ,000394.5749,1
01,0008,002,00021,02,03,2,28,01,052007,1,05,913,1,222,34,1,913,28,2,      ,032010,1,0030000,1,1100                ,2,       ,2,       ,000551.7438,1
01,0008,002,00021,03,03,2,25,01,082007,1,04,913,1,222,47,1,913,25,2,      ,072011,1,0030000,1,1090    3010        ,2,       ,2,       ,000551.7438,1
01,0009,003,00032,03,03,2,30,02,102008,1,63,021,1,500,35,1,913,25,2,      ,092011,1,0020000,1,1050                ,2,       ,2,       ,000524.2664,1
01,0010,001,00042,02,02,2,48,01,062008,2,04,021,1,211,30,1,913,15,2,      ,122010,1,0053000,1,1030    3070        ,2,       ,2,       ,000387.7810,1
01,0011,001,00042,02,02,2,34,01,022007,2,65,921,1,211,38,1,913,31,2,      ,042010,1,0054000,1,101520203065        ,2,       ,2,       ,000523.0758,1
01,0012,001,00044,02,05,1,34,02,052006,2,05,094,1,234,59,1,832,40,2,      ,042011,1,0025000,1,1050                ,1,0050000,2,       ,000505.2768,1
01,0013,001,00044,06,03,2,33,01,042008,1,05,512,1,234,23,1,512,17,2,      ,032010,2,       , ,                    ,2,       ,2,       ,000524.2664,1
01,0013,001,00044,07,03,2,28,01,102007,1,05,347,1,234,35,1,414,23,2,      ,092010,1,0036000,1,1050                ,2,       ,2,       ,000524.2664,1
01,0014,001,00057,02,02,2,51,01,062009,2,04,021,1,211,22,1,913,03,2,      ,042011,1,0057000,1,1075    3025        ,1,0050000,1,0008000,000387.1926,1
01,0014,001,00057,03,03,1,27,01,052005,2,04,611,1,213,48,1,723,48,1,052009,      ,1,0057000,4,1075    3025        ,1,0030000,1,0008500,000503.3644,1
01,0015,001,00057,01,01,1,36,02,032009,2,05,911,1,500,23,1,741,24,2,      ,022011,1,0046000,4,1075    3025        ,2,       ,1,0031500,000428.2146,1
01,0016,001,00057,05,05,1,32,01,032009,2,65,723,1,222,23,1,723,06,2,      ,022011,1,0210000,1,                    ,2,       ,2,       ,000503.3644,1
