RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ221C_CONSUM,RQ221P_CONSUM,RQ222C_INVEST,RQ222P_INVEST,RQ223C_SAVINGS,RQ223P_SAVINGS,RQ224C_OTHERS,RQ224P_OTHERS,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0001,001,00010,02,02,2,30,02,05,2010,2,04,021,1,222,24,1,913,28,2,,,05,2012,1,0016000,4,1,060,,,3,040,,,2,,2,,000535.4749,1
01,0002,003,00020,01,01,2,54,03,06,2010,3,05,921,1,234,36,1,913,55,2,,,06,2013,1,0012000,4,1,100,,,,,,,1,0025000,1,0006000,000378.3602,1
01,0003,003,00020,02,04,2,64,02,04,2010,3,02,021,1,211,24,1,913,56,2,,,04,2012,1,0002000,4,1,100,,,,,,,1,0010000,2,,000367.2464,1
01,0004,002,00017,03,03,1,28,01,06,2006,1,05,921,1,213,38,1,825,38,1,08,2009,,,2,,,,,,,,,,,2,,2,,000520.7637,2
01,0005,002,00021,02,02,2,32,01,05,2006,2,61,235,1,211,72,1,913,52,2,,,05,2012,1,0005000,4,1,050,,,3,050,,,2,,2,,000535.4749,1
01,0006,003,00032,03,03,2,31,03,06,2010,1,63,321,1,500,24,1,913,33,2,,,06,2012,1,0012000,1,1,050,,,3,050,,,2,,2,,000577.2188,1
01,0007,001,00042,03,03,2,25,01,04,2010,1,65,021,1,400,24,1,223,05,2,,,04,2012,2,,,,,,,,,,,2,,2,,000537.5141,1
01,0008,001,00044,10,05,2,46,02,04,2008,2,05,021,1,221,36,1,913,41,2,,,04,2011,1,0041500,4,1,100,,,,,,,2,,2,,000406.9262,1
01,0009,001,00044,07,03,2,21,01,01,2010,1,05,021,1,211,24,1,913,08,2,,,01,2012,1,0021000,1,1,100,,,,,,,2,,2,,000490.8561,1
01,0010,001,00044,06,05,1,29,02,10,2009,2,05,512,1,232,19,1,512,35,2,,,05,2011,1,0078000,1,1,100,,,,,,,2,,2,,000559.2312,1
01,0011,001,00057,81,07,2,67,01,03,2009,3,71,022,6,500,57,2,,,2,,,12,2013,2,,,,,,,,,,,2,,2,,000406.2821,
01,0012,004,00055,04,03,2,52,02,11,2008,3,66,321,1,233,24,1,513,46,2,,,11,2010,1,0029477,1,1,070,2,020,3,010,,,2,,2,,000378.6477,1
01,0012,004,00055,05,06,1,27,01,10,2008,1,04,921,1,233,25,1,932,23,2,,,11,2010,2,,,,,,,,,,,2,,2,,000520.3686,1
01,0013,004,00092,03,03,2,39,02,09,2009,1,65,131,1,233,16,1,223,37,2,,,01,2011,2,,,,,,,,,,,2,,2,,000421.0262,1
01,0013,004,00092,04,03,1,31,02,02,2010,1,68,512,1,222,10,1,149,16,2,,,12,2010,1,0050000,1,1,100,,,,,,,1,0084000,1,0028500,000518.7882,1
01,0013,004,00092,05,03,2,28,01,01,2009,1,65,223,1,233,24,1,223,20,2,,,01,2011,2,,,,,,,,,,,2,,2,,000535.4749,1
01,0013,004,00092,81,03,2,34,01,11,2005,1,66,123,6,500,88,2,,,2,,,88,8888,2,,,,,,,,,,,2,,2,,000405.3559,
01,0014,004,00092,07,05,2,33,02,05,2010,2,63,021,1,212,88,1,743,28,2,,,88,8888,1,0036000,1,1,100,,,,,,,2,,2,,000535.4749,1
