REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q8A_VOC,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCC,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,321331000202001280001280302100000040040,02,02,2,38,02,09,2011,2,05,2,021,1,1,094,24,1,913,24,2,,,,09,2013,2,,,,,,,,,,,2,,2,,000452.9608,1
01,321331000202001280001280302100000080090,06,03,1,30,02,08,2011,1,65,2,215,1,1,081,24,1,215,24,2,,,,08,2013,1,0080000,1,,,,,3,100,,,1,0186000,2,,000553.9476,1
01,321331000202001280001280302100000090102,05,03,2,31,02,04,2008,1,05,1,021,1,1,039,88,1,913,53,2,,,,88,8888,1,0013000,1,1,100,,,,,,,2,,2,,000570.1051,1
01,321331000202001280001280302100000140172,03,03,2,33,02,08,2011,1,04,2,513,1,1,082,24,1,913,48,2,,,,08,2013,1,0012000,2,1,100,,,,,,,1,0015000,1,0003000,000570.1051,1
01,321331000202001280001280302100000140172,04,03,2,30,02,08,2011,1,04,2,511,1,1,039,24,1,913,24,2,,,,08,2013,1,0004000,2,1,100,,,,,,,1,0100000,1,0002000,000570.1051,1
01,321331000202001280001280302100000150184,06,03,1,30,02,01,2011,2,68,2,023,1,2,033,88,1,834,36,2,,,,88,8888,1,0067000,2,1,075,,,3,025,,,2,,2,,000553.9476,1
01,321331000202001280001280302100000150184,05,02,2,60,02,02,2009,2,05,2,021,1,1,051,88,1,913,53,2,,,,88,8888,1,0030000,1,1,100,,,,,,,2,,2,,000363.2394,1
01,222128000171601280001280303400000070082,05,03,2,31,01,05,2008,1,61,2,235,1,1,089,48,1,913,40,2,,,,05,2012,1,0012000,2,1,100,,,,,,,2,,2,,000570.9715,1
01,222128000171601280001280303500000020145,04,02,2,29,01,08,2011,2,05,2,021,1,1,082,24,1,913,01,2,,,,08,2013,2,,,,,,,,,,,2,,2,,000570.9715,1
01,322214000322001280001280502100000020037,03,03,1,26,02,11,2010,1,68,2,611,1,2,112,19,1,723,14,2,,,,06,2012,1,0036000,1,1,050,2,050,,,,,2,,2,,000556.0523,1
01,322214000322001280001280502100000020037,02,02,2,50,02,03,2010,2,03,2,021,1,1,039,24,1,913,60,2,,,,03,2012,1,0016000,5,1,100,,,,,,,2,,2,,000389.2047,1
01,322214000322001280001280502100000058001,01,01,1,35,01,03,2011,2,05,2,712,1,1,089,36,1,932,06,2,,,,03,2014,1,0034000,5,1,100,,,,,,,2,,2,,000458.6725,1
01,322214000322001280001280502100000100205,02,03,2,38,01,08,2009,1,04,1,021,1,1,082,28,1,513,25,2,,,,12,2011,1,0024000,5,1,100,,,,,,,2,,2,,000454.6818,1
01,122104000421601280001280600800000010003,03,03,2,23,02,09,2011,1,67,2,021,1,1,066,24,1,913,26,2,,,,09,2013,2,,,,,,,,,,,1,0120000,1,0115300,000480.1312,1
01,122104000421601280001280600800000010003,04,03,2,22,01,08,2010,1,61,2,223,1,1,026,24,1,913,13,2,,,,08,2012,1,0058000,1,1,020,2,030,3,050,,,2,,2,,000480.1312,1
01,122104000421601280001280600800000080066,02,03,1,27,01,08,2010,1,63,2,921,1,1,051,28,1,931,13,2,,,,12,2012,1,0032000,1,1,040,,,3,060,,,2,,2,,000554.7895,1
01,122205000441601280001280800600000040060,03,03,2,23,01,01,2010,1,05,2,021,1,1,081,38,1,913,20,2,,,,03,2013,1,0008000,5,1,100,,,,,,,2,,2,,000513.3057,1
01,122205000441601280001280800600000070104,04,06,2,23,01,02,2011,1,64,2,021,1,1,094,24,1,913,07,2,,,,02,2013,1,0024000,5,1,100,,,,,,,2,,2,,000513.3057,1
01,122205000441601280001280800600000160232,05,05,1,30,03,06,2011,2,05,2,512,1,1,081,23,1,932,32,2,,,,05,2013,1,0045000,1,1,100,,,,,,,2,,2,,000593.1225,1
01,421102000922001280001281205900000038001,05,02,1,51,03,12,2009,2,04,2,832,1,1,111,24,1,832,60,2,,,,12,2011,1,0202500,5,1,100,,,,,,,2,,2,,000427.6916,1
01,421102000922001280001281205900000130269,01,01,1,46,01,05,2007,2,66,2,512,1,1,083,58,1,913,52,2,,,,03,2012,1,0035000,1,1,100,,,,,,,2,,1,0025000,000427.6916,1
01,421102000922001280001281205900000130269,02,02,2,44,01,05,2007,2,66,2,131,1,1,083,58,1,913,52,2,,,,03,2012,1,0050000,1,1,100,,,,,,,2,,2,,000482.0568,1
01,421102000922001280001281205900000160327,03,07,2,43,01,04,2009,3,05,1,023,1,1,039,36,1,913,29,2,,,,04,2012,1,0070000,1,1,100,,,,,,,2,,2,,000482.0568,1
