REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCCUP,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,121125000102101280001280202800000070069,03,03,2,26,01,12,2011,1,67,231,1,1,082,12,1,222,09,2,,,,12,2012,2,,,,,,,,,,,2,,2,,000510.1690,1
01,121125000102101280001280202800000100098,05,05,1,32,05,02,2010,2,65,512,1,2,018,32,1,741,40,2,,,,10,2012,1,0090000,1,1,080,,,3,020,,,2,,2,,000530.4400,1
01,121125000102101280001280202800000158001,01,01,1,39,05,03,2012,2,68,741,1,2,082,09,1,512,45,2,,,,12,2012,1,0138000,1,1,090,,,3,010,,,2,,2,,000442.1192,1
01,121125000102101280001280202800000188002,06,03,2,26,02,04,2012,1,67,223,1,1,018,11,1,223,45,2,,,,03,2013,1,0105000,1,1,090,,,3,010,,,1,0100000,2,,000510.1690,1
01,222128000172101280001280300900000140138,02,02,2,45,03,01,2012,2,04,021,1,1,039,25,1,913,44,2,,,,02,2014,1,0036000,5,1,090,,,3,010,,,2,,1,0010000,000262.0434,1
01,222128000172101280001280300900000140138,04,05,2,28,01,01,2012,2,04,021,1,1,039,25,1,913,08,2,,,,02,2014,1,0006000,5,1,090,,,3,010,,,2,,2,,000354.7060,1
01,222128000172101280001280300900000220220,02,02,2,58,02,05,2011,2,66,921,1,1,046,23,1,913,48,2,,,,04,2013,1,0030000,1,1,090,,,3,010,,,2,,2,,000236.8724,1
01,222128000172101280001280300900000220220,03,03,2,34,01,05,2009,1,67,223,1,1,046,47,1,913,40,2,,,,04,2013,1,0030000,1,1,080,,,3,020,,,2,,2,,000354.7060,1
01,321331000202001280001280302100000040040,02,02,2,39,02,06,2012,2,06,911,1,1,094,23,1,322,28,2,,,,05,2014,1,0040000,1,1,080,,,3,020,,,1,0030000,2,,000462.7912,1
01,321331000202001280001280302100000080090,03,03,1,30,02,02,2011,1,65,215,1,1,081,24,1,215,43,2,,,,02,2013,1,0170000,1,1,020,,,3,080,,,2,,2,,000583.1021,1
01,321331000202001280001280302100000090102,05,03,2,31,02,03,2010,1,04,522,1,1,039,36,1,913,55,2,,,,03,2013,1,0010000,5,1,090,,,3,010,,,2,,2,,000560.8186,1
01,221117000212101280001280400600000150334,02,02,2,43,03,02,2012,2,02,921,1,1,021,23,1,913,47,2,,,,01,2014,1,0018000,1,1,080,,,3,020,,,2,,2,,000456.0777,1
01,221117000212101280001280400600000150334,05,05,2,22,01,12,2011,2,04,021,1,1,082,23,1,913,09,2,,,,11,2013,1,0018000,1,1,070,,,3,030,,,2,,2,,000503.8684,1
01,221117000212101280001280400600000150334,07,05,1,24,01,08,2011,2,02,611,1,1,050,35,1,721,13,2,,,,07,2014,1,0105000,1,1,040,,,3,060,,,2,,2,,000449.0977,1
01,322214000322001280001280502100000010002,03,03,2,33,03,08,2012,4,90,021,1,1,039,24,1,913,49,2,,,,08,2014,1,0048000,5,1,090,,,3,010,,,1,0010000,2,,000513.2774,1
01,322214000322001280001280502100000020037,02,02,2,51,01,02,2008,2,04,021,1,1,039,88,1,913,55,2,,,,88,8888,1,0048000,1,1,080,2,020,,,,,2,,2,,000379.1900,1
01,322214000322001280001280502100000020037,03,03,1,27,03,06,2012,1,68,611,1,2,047,11,1,834,39,2,,,,05,2013,2,,,,,,,,,,,2,,2,,000533.6719,1
01,322214000322001280001280502100000040079,03,03,2,24,01,09,2011,1,04,021,1,1,039,25,1,913,12,2,,,,10,2013,1,0300000,5,1,080,,,3,020,,,2,,2,,000467.9431,1
01,322214000322001280001280502100000058001,01,01,1,36,01,04,2011,2,06,611,1,1,089,25,1,932,17,2,,,,05,2013,1,0072000,5,1,050,,,3,050,,,2,,2,,000444.8130,1
01,322214000322001280001280502100000100205,03,03,2,39,01,12,2011,4,05,021,1,1,082,24,1,513,09,2,,,,12,2013,1,0016000,4,1,100,,,,,,,2,,2,,000423.5599,1
01,122104000422101280001280600800000090079,02,02,2,28,01,05,2012,2,06,921,1,1,067,24,1,913,04,2,,,,05,2014,1,0028000,1,1,100,,,,,,,2,,2,,000512.1117,1
01,122205000442101280001280800600000010021,02,02,2,45,01,04,2012,2,06,021,1,1,082,24,1,913,05,2,,,,04,2014,1,0010000,5,1,100,,,,,,,2,,2,,000379.1900,1
01,122205000442101280001280800600000040066,04,03,2,44,01,10,2007,2,63,021,1,1,082,59,1,913,59,1,09,2012,2,,,1,0025000,5,1,100,,,,,,,1,0050000,2,,000423.5599,1
01,222231000522101280001280900900000130156,08,03,1,28,03,09,2012,2,65,215,1,1,094,11,1,215,13,2,,,,08,2013,1,0480000,1,1,010,2,080,3,010,,,1,0010000,1,0040000,000533.6719,1
01,222231000522101280001280900900000190228,03,08,2,29,01,08,2010,2,61,021,1,1,057,27,1,913,25,2,,,,11,2012,1,0060000,3,1,040,,,3,050,4,010,2,,2,,000513.2774,1
01,421102000922001280001281205900000020053,01,01,1,33,02,12,2009,1,06,023,1,1,089,36,1,827,57,1,09,2012,2,,,2,,,,,,,,,,,1,0000000,2,,000587.2728,1
01,421102000922001280001281205900000038001,02,02,1,52,01,01,2012,2,04,833,1,1,096,16,1,833,08,2,,,,05,2013,1,0112000,5,1,100,,,,,,,2,,2,,000408.8485,1
01,421102000922001280001281205900000070149,03,03,1,32,01,12,2011,5,63,023,1,1,089,07,1,829,07,1,07,2012,2,,,1,0060000,5,1,100,,,,,,,1,0035000,2,,000587.2728,1
01,421102000922001280001281205900000130269,01,01,1,47,01,04,2011,2,04,131,1,1,083,24,1,832,17,2,,,,04,2013,2,,,,,,,,,,,2,,2,,000408.8485,1
01,421102000922001280001281205900000130269,02,02,2,45,01,04,2008,2,04,741,1,1,083,88,1,913,53,2,,,,88,8888,1,0120000,1,1,100,,,,,,,2,,1,0020000,000417.2751,1
01,421102000922001280001281205900000160327,01,01,1,40,08,03,2012,2,02,023,1,2,022,03,1,834,51,1,06,2012,2,,,2,,,,,,,,,,,1,0004100,2,,000489.4891,1
01,321110000852001280001281206600000090107,06,03,2,30,03,05,2012,1,06,131,1,1,094,24,1,422,41,2,,,,05,2014,1,0025000,1,1,090,,,3,010,,,2,,2,,000564.8299,1
01,321206000672001280001281208100000120164,03,03,1,29,02,10,2011,1,06,023,1,1,089,24,1,721,35,2,,,,10,2013,1,0024500,5,1,090,,,3,010,,,2,,2,,000594.6508,1
01,422223000992001280001281501100000020025,01,01,1,38,01,07,2011,2,04,611,1,1,089,35,1,822,14,2,,,,06,2014,1,0150000,1,1,035,,,3,065,,,2,,2,,000494.2366,1
01,121214001092101280001281600300000180080,01,01,1,50,06,10,2011,2,65,832,1,2,022,13,1,834,60,2,,,,11,2012,1,0240000,1,1,050,2,040,3,010,,,2,,1,0020000,000370.4075,1
01,422112001072001280001281600400000120259,02,02,2,46,02,08,2012,2,06,913,1,1,039,23,1,913,50,2,,,,07,2014,1,0018000,1,1,090,,,3,010,,,1,0020000,2,,000378.3289,1
01,422112001072001280001281600400000130282,03,03,2,29,03,10,2011,1,04,023,1,1,089,36,1,724,48,2,,,,10,2014,1,0030000,1,1,090,,,3,010,,,2,,2,,000512.1117,1
01,422112001072001280001281600400000130282,09,05,1,32,02,05,2010,2,63,023,1,1,089,37,1,724,50,2,,,,06,2013,1,0036000,1,1,080,,,3,020,,,2,,2,,000532.4599,1
