RREG,HHNUM,RRPL,RSTR,RPSU,RROTATION,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0001,1,21125,00010,26,81,08,2,59,03,01,2015,3,04,131,6,,500,18,1,513,24,2,,,,07,2016,1,0060000,1,1,100,,,,,,,,,2,,1,0007500,000483.3481,
01,0002,1,21125,00010,26,03,03,1,29,01,07,2012,1,67,223,1,1,213,36,1,222,36,1,07,2015,2,,,1,0015000,1,1,100,,,,,,,,,1,0050000,1,0008000,000512.6429,1
01,0002,1,21125,00010,26,04,03,2,25,01,04,2012,2,67,223,1,1,233,24,1,223,24,1,04,2014,2,,,2,,,,,,,,,,,,,1,0060000,2,,000539.1801,2
01,0002,1,21125,00010,26,10,03,1,30,04,01,2015,1,68,512,1,1,234,12,1,512,40,2,,,,01,2016,1,0048000,1,1,100,,,,,,,,,2,,1,0008000,000512.6429,1
01,0003,1,21125,00010,26,02,03,1,35,02,02,2011,2,04,721,2,1,214,36,1,826,45,1,12,2013,2,,,2,,,,,,,,,,,,,2,,2,,000477.4089,2
01,0004,3,21331,00020,28,04,05,1,25,01,01,2014,2,67,921,1,1,221,24,1,513,20,2,,,,01,2016,1,0048000,1,1,050,,,3,050,,,,,2,,2,,000513.8142,1
01,0005,2,22128,00017,26,02,02,2,43,02,02,2013,2,57,223,1,1,233,36,1,323,57,2,,,,02,2016,1,0048000,4,1,100,,,,,,,,,2,,2,,000318.3688,1
01,0006,2,22128,00017,26,02,02,2,29,01,02,2015,2,04,911,1,1,222,24,1,913,07,2,,,,02,2017,1,0015000,5,1,100,,,,,,,,,2,,2,,000361.9497,1
01,0007,2,22128,00017,26,04,06,2,28,01,09,2015,2,61,021,1,1,211,24,1,913,00,2,,,,09,2017,2,,,,,,,,,,,,,2,,2,,000361.9497,1
01,0008,2,22128,00017,26,03,08,2,28,01,01,2015,1,04,913,1,1,213,36,1,825,08,2,,,,01,2018,1,0011000,5,1,100,,,,,,,,,2,,2,,000361.9497,1
01,0009,2,22128,00017,26,08,03,2,29,01,08,2015,3,04,913,1,1,400,24,1,513,01,2,,,,08,2017,2,,,,,,,,,,,,,2,,2,,000361.9497,1
01,0010,2,22128,00017,26,03,03,1,27,01,08,2014,2,04,921,1,1,233,24,1,832,13,2,,,,08,2016,2,,,,,,,,,,,,,2,,2,,000344.1354,1
01,0011,2,22128,00017,26,03,05,2,27,01,08,2015,4,02,021,1,1,221,24,1,913,01,2,,,,08,2017,2,,,,,,,,,,,,,2,,2,,000361.9497,1
01,0012,2,21117,00021,26,02,02,2,39,01,09,2014,2,06,021,1,1,211,24,1,913,12,2,,,,09,2016,1,0060000,5,1,100,,,,,,,,,2,,2,,000474.2595,1
01,0013,2,21117,00021,26,02,02,2,38,02,04,2015,2,04,021,1,1,222,24,1,913,36,2,,,,04,2017,1,0042000,5,1,100,,,,,,,,,2,,1,0012000,000474.2595,1
01,0014,2,21117,00021,26,04,03,2,29,01,03,2012,2,67,223,1,1,233,24,1,223,24,1,03,2014,2,,,2,,,,,,,,,,,,,2,,2,,000539.1801,2
01,0015,3,22214,00032,28,04,05,2,23,01,05,2015,2,06,021,1,1,222,24,1,913,04,2,,,,05,2017,2,,,,,,,,,,,,,2,,2,,000500.0814,1
01,0016,3,22214,00032,28,04,08,1,33,01,12,2014,1,67,522,1,1,221,07,1,223,07,1,07,2015,2,,,2,,,,,,,,,,,,,1,0050000,1,0010000,000515.7664,1
01,0017,3,22214,00032,28,06,05,2,29,02,04,2015,2,04,913,1,1,222,12,1,913,34,2,,,,04,2016,1,0010000,5,1,100,,,,,,,,,2,,2,,000542.4652,1
01,0018,1,22104,00042,26,04,03,1,31,02,10,2013,1,55,724,1,1,233,24,1,311,47,2,,,,10,2015,1,0048000,1,1,080,,,3,020,,,,,2,,2,,000514.5951,1
01,0019,1,22205,00044,26,02,02,2,35,01,09,2013,2,04,021,1,1,211,27,1,913,24,2,,,,12,2015,1,0035000,4,1,100,,,,,,,,,2,,2,,000381.6247,1
01,0020,1,22205,00044,26,02,02,2,46,02,04,2014,2,04,021,1,1,211,24,1,913,41,2,,,,04,2016,1,0029000,4,1,090,,,3,010,,,,,2,,2,,000316.6952,1
01,0021,1,22205,00044,26,03,05,1,44,02,08,2014,2,65,023,1,1,234,24,1,413,40,2,,,,08,2016,1,0078000,1,1,050,,,3,050,,,,,2,,2,,000384.1589,1
01,0022,1,22205,00044,26,02,02,2,35,01,03,2014,2,06,021,1,1,211,16,1,913,16,1,07,2015,3,,,2,,,,,,,,,,,,,1,0048000,2,,000381.6247,1
01,0023,2,22231,00052,26,02,02,2,45,01,05,2012,2,53,021,1,1,235,28,1,913,28,1,09,2014,2,,,2,,,,,,,,,,,,,2,,2,,000395.9672,2
01,0024,2,22231,00052,26,02,02,2,42,01,08,2011,2,67,021,1,1,221,21,1,913,21,1,05,2013,2,,,2,,,,,,,,,,,,,2,,2,,000477.1491,2
01,0025,2,22231,00052,26,81,05,1,43,05,04,2015,2,04,023,6,,500,20,1,913,60,2,,,,12,2016,1,0090000,5,1,100,,,,,,,,,2,,2,,000486.2931,
