RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0001,011,00252,02,02,2,34,01,08,2016,2,04,921,1,1,222,24,1,911,01,2,,,,08,2018,2,,,,,,,,,,,,,2,,2,,000523.5954,1
01,0002,011,00252,01,01,1,48,02,08,2015,2,04,093,1,1,233,24,1,711,37,2,,,,08,2017,1,0058800,1,1,060,,,3,030,,,5,010,2,,2,,000400.1886,1
01,0002,011,00252,02,02,2,44,01,01,2016,2,04,921,1,1,233,24,1,911,08,2,,,,01,2018,1,0040000,4,1,050,,,3,010,4,010,5,030,2,,2,,000420.5406,1
01,0003,011,00252,02,03,2,26,02,05,2015,1,67,222,1,1,233,24,1,222,46,2,,,,05,2017,1,0070000,1,1,070,,,3,030,,,,,2,,2,,000523.5954,1
01,0004,010,00050,04,03,1,31,01,07,2014,2,65,421,1,1,234,24,1,832,24,1,07,2016,2,,,1,0055000,1,1,100,,,,,,,,,1,0150000,2,,000362.5320,1
01,0004,010,00050,05,05,2,38,01,07,2014,2,64,091,1,1,234,24,1,911,24,1,07,2016,2,,,1,0030000,1,1,050,,,3,050,,,,,1,0100000,2,,000316.9715,1
01,0005,010,00050,01,01,1,33,04,07,2016,2,65,512,1,2,400,12,1,512,38,2,,,,07,2017,1,0040000,1,1,090,,,3,010,,,,,1,0100000,1,0035000,000362.5320,1
01,0006,010,00050,01,01,1,37,02,09,2013,2,64,141,1,1,231,38,1,141,36,2,,,,11,2016,1,0060000,1,1,100,,,,,,,,,2,,2,,000339.8641,1
01,0007,009,00298,81,06,2,22,01,01,2015,1,67,091,6,,500,60,1,532,20,2,,,,01,2020,1,0018000,5,1,100,,,,,,,,,2,,1,0010000,000318.9637,
01,0008,009,00001,02,03,2,46,01,03,2014,1,68,522,1,1,234,36,1,832,30,2,,,,03,2017,1,0045000,1,1,080,,,3,015,4,005,,,2,,2,,000347.2830,1
01,0009,009,00001,01,01,1,41,03,10,2015,2,63,241,1,1,300,36,1,241,57,2,,,,10,2018,1,0540000,1,1,080,,,3,020,,,,,2,,2,,000348.8197,1
