RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18_DTRET,RQ19_REASON,RQ20_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
14,0001,027,00238,02,02,2,41,01,062016,2,003,92,1,1,233,48,1,91,15,2,      , ,062020,1,0046000,5,1,095, ,   ,3,005, ,   , ,   ,2,       ,2,       ,000171.0710,1
14,0002,025,00198,02,02,2,36,01,062017,2,008,09,1,1,231,24,1,91,03,2,      , ,062019,1,0020000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000203.4455,1
14,0003,025,00198,02,02,2,43,01,062016,2,862,09,1,1,231,24,1,91,15,2,      , ,062018,1,0052000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000203.4455,1
14,0004,028,00183,02,02,2,27,01,032016,2,634,09,1,1,211,36,1,91,18,2,      , ,032019,1,0060000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000193.8509,1
14,0005,026,00040,02,02,2,39,02,092015,2,004,09,1,1,233,36,1,91,48,2,      , ,092018,1,0021000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0008000,000155.5977,1
14,0006,026,00040,05,05,2,24,01,102016,2,004,91,1,1,235,24,1,91,11,2,      , ,102018,1,0045000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000171.4605,1
14,0007,026,00040,02,02,2,39,02,112016,2,004,09,1,1,234,24,1,91,35,2,      , ,112018,1,0024000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0006000,000155.5977,1
14,0008,026,00040,02,02,2,43,02,062017,2,004,09,1,1,235,36,1,91,39,2,      , ,062020,1,0060000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000155.5977,1
14,0009,026,00040,02,02,2,40,01,092015,2,004,92,1,1,400,36,1,91,24,2,      , ,092018,1,0030000,5,1,040,2,060, ,   , ,   , ,   ,2,       ,2,       ,000155.5977,1
14,0010,025,00072,01,01,1,45,04,092017,2,832,09,1,2,212,12,1,83,59,2,      , ,092018,1,0120000,1,1,050,2,050, ,   , ,   , ,   ,1,0100000,2,       ,000144.2097,1
14,0011,025,00072,02,02,2,40,02,052017,2,004,09,1,1,222,24,1,91,28,2,      , ,052019,1,0032000,1,1,100, ,   , ,   , ,   , ,   ,1,0042000,2,       ,000198.7864,1
14,0012,026,00082,02,02,2,26,01,042016,2,004,09,1,1,232,24,1,91,17,2,      , ,042018,1,0043000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000176.1581,1
14,0013,026,00082,04,03,1,26,01,052016,1,848,92,1,1,233,36,1,93,16,2,      , ,052019,1,0030000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000178.0143,1
