RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGC,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_NCOUNTRY,RQ13_STAY,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20_DTRET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22_DTEXP,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMSPENT,RQ261C_CONSUM,RQ261P_CONSUM,RQ262C_INVEST,RQ262P_INVEST,RQ263C_SAVINGS,RQ263P_SAVINGS,RQ264C_GIFT,RQ264P_GIFT,RQ265C_OTHERS,Q265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RPRRCD,RP6M_IND
14,0001,012,00175,03,02,2,31,02,052017,05,2017,2,4,91,1,1,211,24,1,91,96,0025000,44,2,      ,  ,    , ,052019,05,2019,1,  25000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000213.6238,    ,1
14,0002,012,00175,03,04,2,33,01,062018,06,2018,1,7,24,1,1,234,24,1,24,41,0060000,03,2,      ,  ,    , ,062020,06,2020,1,  34000,1,10702030            ,1,070,2,030, ,   , ,   , ,   ,2,       ,2,       ,000213.6238,    ,1
14,0003,011,00186,01,01,1,41,01,042016,04,2016,2,7,33,1,1,300,48,1,93,10,0035000,29,2,      ,  ,    , ,042020,04,2020,1, 180000,1,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000157.6510,    ,1
14,0004,012,00217,03,04,2,37,01,042018,04,2018,1,6,92,1,1,235,36,1,91,96,0050000,05,2,      ,  ,    , ,042021,04,2021,1,  50000,1,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000179.9910,    ,1
14,0005,012,00217,03,04,2,29,01,042018,04,2018,1,3,91,1,1,233,24,1,91,96,0018000,05,2,      ,  ,    , ,042020,04,2020,1, 200000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000202.2423,    ,1
14,0006,011,00018,01,01,2,43,02,032017,03,2017,2,7,92,1,1,231,24,1,91,96,0020000,48,2,      ,  ,    , ,032019,03,2019,1,  16000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0007000,000169.5153,    ,1
14,0007,011,00018,04,08,2,35,02,012018,01,2018,2,4,92,1,1,231,24,1,91,96,0020000,33,2,      ,  ,    , ,012020,01,2020,1,  10000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000169.5153,    ,1
14,0008,011,00018,02,02,2,38,02,062018,06,2018,2,6,23,1,1,211,24,1,91,96,0026000,27,2,      ,  ,    , ,062020,06,2020,1,  15000,1,1090    3010        ,1,090, ,   ,3,010, ,   , ,   ,2,       ,2,       ,000169.5153,    ,1
14,0009,011,00018,02,02,2,45,01,022017,02,2017,2,3,92,1,1,232,24,1,91,96,0028000,19,2,      ,  ,    , ,022019,02,2019,1,  30000,5,1075    30154010    ,1,075, ,   ,3,015,4,010, ,   ,2,       ,2,       ,000158.6076,    ,1
14,0010,014,00081,02,02,2,33,03,032017,03,2017,2,4,92,1,1,211,24,1,91,96,0026000,57,2,      ,  ,    , ,032019,03,2019,1,  24000,1,1090    3010        ,1,090, ,   ,3,010, ,   , ,   ,2,       ,2,       ,000205.4524,    ,1
