RREG,HHNUM,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGC,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_NCOUNTRY,RQ13_RETURN,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMITTANCE_SPENT,RQ261P_CONSUM,RQ262P_INVEST,RQ263P_SAVINGS,RQ264P_GIFT,RQ265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RPRRCD,RP6M_IND
14,0001,04,03,1,28,01,12,2016,1,04,52,1,1,212,36,1,72,24,0070000,33,2,  ,    , ,12,2019,1,  60000,5,A    ,100,000,000,000,000,2,       ,1,0020000,000195.8736,0100,1
14,0002,01,01,1,46,08,06,2019,2,09, 9,1,2,400,06,1,51,50,0055000,48,2,  ,    , ,12,2019,1, 200000,1,ABC  ,070,020,010,000,000,2,       ,2,       ,000153.6898,0100,1
14,0003,02,02,2,56,01,04,2018,2,04,51,1,1,231,24,1,51,96,0017000,17,2,  ,    , ,04,2020,1,  48000,2,A    ,100,000,000,000,000,2,       ,2,       ,000123.1128,0100,1
14,0004,02,02,2,40,02,01,2017,2,08, 9,1,1,222,24,1,91,96,0021000,45,2,  ,    , ,01,2020,1,  47000,5,A    ,100,000,000,000,000,2,       ,2,       ,000221.3486,0100,1
14,0005,01,01,1,54,02,09,2017,4,04,72,1,1,500,24,1,72,33,0050000,24,1,09,2019,2,  ,    ,1, 240000,1,ABCD ,070,010,010,010,000,2,       ,1,0040000,000211.2822,0100,1
14,0006,03,08,2,39,01,05,2018,2,08,52,1,1,231,36,1,91,96,0020000,16,2,  ,    , ,05,2021,1,  83500,5,A    ,100,000,000,000,000,2,       ,2,       ,000221.3486,0100,1
14,0007,02,04,2,45,02,06,2018,1,10,52,1,1,211,24,1,91,96,0022000,45,2,  ,    , ,06,2020,1,  28000,1,A    ,100,000,000,000,000,2,       ,2,       ,000201.9062,0100,1
14,0007,05,08,2,43,02,04,2018,2,10,91,1,1,211,24,1,91,96,0022000,41,2,  ,    , ,04,2020,1,  60000,5,A    ,100,000,000,000,000,2,       ,2,       ,000221.3486,0100,1
14,0008,08,04,2,37,01,01,2018,1,10,92,1,1,211,24,1,91,96,0022000,20,2,  ,    , ,01,2020,1,   7000,5,A    ,100,000,000,000,000,2,       ,2,       ,000172.8107,0100,1
14,0009,03,04,2,37,02,02,2017,1,10,92,1,1,214,36,1,91,96,0022000,55,2,  ,    , ,02,2020,1,  35000,5,A    ,100,   ,   ,   ,   ,2,       ,2,       ,000172.8107,0100,1
