RREG,RHHNUM,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_RETURN,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMITTANCE_SPENT,RQ261P_CONSUM,RQ262P_INVEST,RQ263P_SAVINGS,RQ264P_GIFT,RQ265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RP6M_IND,RURB2015,RSVYYR,RPRRCD
01,000001,06,04,1,54,03,08,2019,2,04,61,1,1,400,24,1,53,87,0060000,27,2,  ,    , ,08,2021,1,   60000,1,AC   ,080,000,020,000,000,2,       ,2,        ,000390.3489,1,2,2020,2800
01,000001,07,08,2,54,03,08,2019,2,09,09,1,1,400,24,1,53,87,0060000,27,2,  ,    , ,08,2021,1,   40000,1,C    ,000,000,100,000,000,2,       ,2,        ,000318.5742,1,2,2020,2800
01,000001,08,08,2,35,02,12,2018,1,09,52,1,1,400,36,1,42,55,0070000,58,2,  ,    , ,12,2021,1,   20000,1,A    ,100,000,000,000,000,2,       ,2,        ,000413.1158,1,2,2020,2800
01,000001,09,08,2,33,03,12,2018,1,10,22,1,1,400,36,1,22,86,0100000,58,2,  ,    , ,12,2021,1,   40000,1,C    ,000,000,100,000,000,2,       ,2,        ,000383.2296,1,2,2020,2800
01,000002,04,03,2,28,02,01,2020,1,10,22,1,1,400,24,1,22,86,0100000,57,2,  ,    , ,01,2022,1,  130000,5,AC   ,070,000,030,000,000,2,       ,2,        ,000383.2296,1,2,2020,2800
01,000003,81,08,2,60,01,08,2019,3,10,52,6, ,400,24,1,53,87,0030000,13,2,  ,    , ,08,2021,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000407.9354, ,2,2020,2800
01,000004,05,08,2,31,03,03,2018,1,10,22,1,1,400,36,1,22,86,0040000,58,2,  ,    , ,03,2021,1,   60000,1,ABC  ,050,030,020,000,000,2,       ,2,        ,000383.2296,1,2,2020,2800
01,000005,02,02,1,38,01,09,2019,2,04,11,1,2,213,24,1,62,03,0020000,12,2,  ,    , ,09,2021,1,   40000,1,AC   ,080,000,020,000,000,2,       ,2,        ,000383.2578,1,2,2020,2800
01,000006,10,05,2,32,03,05,2019,2,10,22,1,1,300,24,1,22,86,0100000,59,2,  ,    , ,05,2021,1,  100000,1,AC   ,060,000,040,000,000,2,       ,2,        ,000370.7801,1,2,2020,2800
01,000007,02,03,2,32,02,02,2020,1,09,91,1,1,211,24,1,91,96,0024000,57,2,  ,    , ,02,2022,1,   60000,5,AC   ,070,000,030,000,000,2,       ,2,        ,000370.7801,1,2,2020,2800
